"pitch","midi","channel","on_tick","off_tick"
"d'",62,0,384,768
"b'",71,0,768,1152
"a'",69,0,1152,1536
"c''",72,0,1536,2304
"a'",69,0,2304,3072
"a'",69,0,3456,3648
"b'",71,0,3648,3840
"a'",69,0,3840,4416
"g'",67,0,4416,4608
"b'",71,0,4608,6144
"d'",62,0,6528,6912
"b'",71,0,6912,7296
"a'",69,0,7296,7680
"c''",72,0,7680,8448
"a'",69,0,8448,9216
"a'",69,0,9600,9792
"b'",71,0,9792,9984
"a'",69,0,9984,10560
"b'",71,0,10560,10752
"d''",74,0,10752,12288
"d''",74,0,12672,13056
"d''",74,0,13056,13440
"d''",74,0,13440,13824
"b'",71,0,13824,14592
"b'",71,0,14592,15360
"b'",71,0,15744,15936
"b'",71,0,15936,16128
"a'",69,0,16128,16704
"g'",67,0,16704,16896
"d''",74,0,16896,17664
"c''",72,0,17664,18432
"c''",72,0,18816,19200
"d''",74,0,19200,19584
"c''",72,0,19584,19968
"b'",71,0,19968,20352
"b'",71,0,20352,20736
"a'",69,0,20736,21120
"g'",67,0,21120,21504
"a'",69,0,21504,22656
"g'",67,0,22656,23040
"g'",67,0,23040,24576
"d'",62,0,24960,25344
"b'",71,0,25344,25728
"a'",69,0,25728,26112
"c''",72,0,26112,26880
"a'",69,0,26880,27648
"a'",69,0,28032,28224
"b'",71,0,28224,28416
"a'",69,0,28416,28992
"g'",67,0,28992,29184
"b'",71,0,29184,30720
"d'",62,0,31104,31488
"b'",71,0,31488,31872
"a'",69,0,31872,32256
"c''",72,0,32256,33024
"a'",69,0,33024,33792
"a'",69,0,34176,34368
"b'",71,0,34368,34560
"a'",69,0,34560,35136
"b'",71,0,35136,35328
"d''",74,0,35328,36864
"d''",74,0,37248,37632
"d''",74,0,37632,38016
"d''",74,0,38016,38400
"b'",71,0,38400,39168
"b'",71,0,39168,39936
"b'",71,0,40320,40512
"b'",71,0,40512,40704
"a'",69,0,40704,41280
"g'",67,0,41280,41472
"d''",74,0,41472,42240
"c''",72,0,42240,43008
"c''",72,0,43392,43776
"d''",74,0,43776,44160
"c''",72,0,44160,44544
"b'",71,0,44544,44928
"b'",71,0,44928,45312
"a'",69,0,45312,45696
"g'",67,0,45696,46080
"a'",69,0,46080,47232
"g'",67,0,47232,47616
"g'",67,0,47616,49152
"d'",62,0,49536,49920
"b'",71,0,49920,50304
"a'",69,0,50304,50688
"c''",72,0,50688,51456
"a'",69,0,51456,52224
"a'",69,0,52608,52800
"b'",71,0,52800,52992
"a'",69,0,52992,53568
"g'",67,0,53568,53760
"b'",71,0,53760,55296
"d'",62,0,55680,56064
"b'",71,0,56064,56448
"a'",69,0,56448,56832
"c''",72,0,56832,57600
"a'",69,0,57600,58368
"a'",69,0,58752,58944
"b'",71,0,58944,59136
"a'",69,0,59136,59712
"b'",71,0,59712,59904
"d''",74,0,59904,61440
"d''",74,0,61824,62208
"d''",74,0,62208,62592
"d''",74,0,62592,62976
"b'",71,0,62976,63744
"b'",71,0,63744,64512
"b'",71,0,64896,65088
"b'",71,0,65088,65280
"a'",69,0,65280,65856
"g'",67,0,65856,66048
"d''",74,0,66048,66816
"c''",72,0,66816,67584
"c''",72,0,67968,68352
"d''",74,0,68352,68736
"c''",72,0,68736,69120
"b'",71,0,69120,69504
"b'",71,0,69504,69888
"a'",69,0,69888,70272
"g'",67,0,70272,70656
"a'",69,0,70656,71808
"g'",67,0,71808,72192
"g'",67,0,72192,73728
