"snippet","data_ref","x","y","bar","bar_moment"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:66:6:7",13.184,15.289,1.0,"0"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:66:10:11",17.757,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:66:14:15",23.106,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:67:2:3",27.795,15.289,2.0,"1"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:67:7:8",33.141,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:68:5:6",42.896,15.289,3.0,"2"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:68:9:10",45.249,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:68:13:14",47.278,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:68:18:19",52.372,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:69:2:3",56.162,15.289,4.0,"3"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:70:5:6",70.755,15.289,5.0,"4"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:70:9:10",75.328,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:70:13:14",80.677,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:71:2:3",85.366,15.289,6.0,"5"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:71:7:8",90.712,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:72:5:6",100.467,15.289,7.0,"6"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:72:9:10",104.084,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:72:13:14",106.83,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:72:18:19",111.923,15.289,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:73:2:3",115.714,15.289,8.0,"7"
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:74:5:6",130.306,15.289,9.0,"8"
