"snippet","data_ref","x","y","bar","bar_moment"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:59:4:5",10.536,15.732,1.0,"0"
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:59:9:10",16.086,15.732,"",""
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:59:13:14",19.352,15.732,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:59:16:17",23.379,15.732,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:59:20:21",27.008,15.732,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:60:4:5",37.919,15.732,2.0,"1"
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:60:9:10",43.469,15.732,"",""
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:60:13:14",46.599,15.732,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:60:16:17",50.25,15.732,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:60:20:21",53.879,15.732,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:61:4:5",64.79,15.732,3.0,"2"
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:61:9:10",70.575,15.732,"",""
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:61:13:14",74.601,15.732,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:61:16:17",79.2,15.732,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:61:20:21",83.312,15.732,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:61:24:25",87.927,15.732,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:61:28:29",92.355,15.732,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:61:32:33",95.984,15.732,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:62:4:5",101.375,15.732,4.0,"3"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:62:9:10",106.924,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:62:14:15",109.448,15.732,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:62:20:21",113.078,15.732,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:62:24:25",116.707,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:66:4:5",128.108,15.732,5.0,"4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:66:9:10",133.658,15.732,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:66:14:15",136.087,15.732,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:66:20:21",139.716,15.732,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:66:26:27",143.345,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:67:4:5",154.256,15.732,6.0,"5"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:67:9:10",159.806,15.732,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:67:14:15",162.612,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:67:18:19",166.502,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:67:22:23",170.131,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:68:4:5",181.042,15.732,7.0,"6"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:68:11:12",186.591,15.732,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:68:18:19",190.618,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:68:22:23",194.247,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:68:28:29",197.876,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:68:33:34",203.426,15.732,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:68:38:39",205.855,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:68:42:43",209.484,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:69:4:5",214.875,15.732,8.0,"7"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:69:11:12",221.044,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:69:18:19",224.789,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:69:22:23",228.418,15.732,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:69:28:29",232.047,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM021_MariBerdendang/GPM021_MariBerdendang_ly_data.ily:70:4:5",242.958,15.732,9.0,"8"
