"pitch","midi","channel","on_tick","off_tick"
"a'",69,0,0,192
"a'",69,0,192,576
"a'",69,0,576,768
"g'",67,0,768,960
"f'",65,0,960,1152
"g'",67,0,1152,1344
"f'",65,0,1344,1536
"a'",69,0,1536,1728
"a'",69,0,1728,2112
"a'",69,0,2112,2304
"g'",67,0,2304,2496
"f'",65,0,2496,2688
"g'",67,0,2688,2880
"f'",65,0,2880,3072
"a'",69,0,3072,3264
"a'",69,0,3264,3648
"a'",69,0,3648,3840
"g'",67,0,3840,4032
"f'",65,0,4032,4224
"g'",67,0,4224,4416
"f'",65,0,4416,4608
"f'",65,0,4608,5760
"a'",69,0,6144,6336
"a'",69,0,6336,6720
"a'",69,0,6720,6912
"g'",67,0,6912,7104
"f'",65,0,7104,7296
"g'",67,0,7296,7488
"f'",65,0,7488,7680
"a'",69,0,7680,7872
"a'",69,0,7872,8256
"a'",69,0,8256,8448
"g'",67,0,8448,8640
"f'",65,0,8640,8832
"g'",67,0,8832,9024
"f'",65,0,9024,9216
"a'",69,0,9216,9408
"a'",69,0,9408,9792
"a'",69,0,9792,9984
"g'",67,0,9984,10176
"f'",65,0,10176,10368
"g'",67,0,10368,10560
"f'",65,0,10560,10752
"f'",65,0,10752,11904
"g'",67,0,12288,12480
"g'",67,0,12480,12864
"g'",67,0,12864,13056
"g'",67,0,13056,13248
"f'",65,0,13248,13440
"g'",67,0,13440,13632
"f'",65,0,13632,13824
"a'",69,0,13824,14016
"a'",69,0,14016,14400
"g'",67,0,14400,14592
"a'",69,0,14592,14784
"g'",67,0,14784,14976
"f'",65,0,14976,15168
"g'",67,0,15360,15552
"g'",67,0,15552,15936
"g'",67,0,15936,16128
"g'",67,0,16128,16320
"f'",65,0,16320,16512
"g'",67,0,16512,16704
"f'",65,0,16704,16896
"f'",65,0,16896,17088
"f'",65,0,17088,17280
"g'",67,0,17280,17472
"a'",69,0,17472,17664
"c''",72,0,17664,18048
"a'",69,0,18432,18624
"a'",69,0,18624,19008
"a'",69,0,19008,19200
"g'",67,0,19200,19392
"f'",65,0,19392,19584
"g'",67,0,19584,19776
"f'",65,0,19776,19968
"a'",69,0,19968,20160
"a'",69,0,20160,20544
"a'",69,0,20544,20736
"g'",67,0,20736,20928
"f'",65,0,20928,21120
"g'",67,0,21120,21312
"f'",65,0,21312,21504
"f'",65,0,21504,21696
"f'",65,0,21696,21888
"f'",65,0,21888,22080
"f'",65,0,22080,22272
"g'",67,0,22272,22464
"a'",69,0,22464,22656
"g'",67,0,22656,22848
"f'",65,0,22848,23040
"f'",65,0,23040,24192
"a'",69,0,24576,24768
"a'",69,0,24768,25152
"a'",69,0,25152,25344
"g'",67,0,25344,25536
"f'",65,0,25536,25728
"g'",67,0,25728,25920
"f'",65,0,25920,26112
"a'",69,0,26112,26304
"a'",69,0,26304,26688
"a'",69,0,26688,26880
"g'",67,0,26880,27072
"f'",65,0,27072,27264
"g'",67,0,27264,27456
"f'",65,0,27456,27648
"a'",69,0,27648,27840
"a'",69,0,27840,28224
"a'",69,0,28224,28416
"g'",67,0,28416,28608
"f'",65,0,28608,28800
"g'",67,0,28800,28992
"f'",65,0,28992,29184
"f'",65,0,29184,30336
"a'",69,0,30720,30912
"a'",69,0,30912,31296
"a'",69,0,31296,31488
"g'",67,0,31488,31680
"f'",65,0,31680,31872
"g'",67,0,31872,32064
"f'",65,0,32064,32256
"a'",69,0,32256,32448
"a'",69,0,32448,32832
"a'",69,0,32832,33024
"g'",67,0,33024,33216
"f'",65,0,33216,33408
"g'",67,0,33408,33600
"f'",65,0,33600,33792
"a'",69,0,33792,33984
"a'",69,0,33984,34368
"a'",69,0,34368,34560
"g'",67,0,34560,34752
"f'",65,0,34752,34944
"g'",67,0,34944,35136
"f'",65,0,35136,35328
"f'",65,0,35328,36480
"g'",67,0,36864,37056
"g'",67,0,37056,37440
"g'",67,0,37440,37632
"g'",67,0,37632,37824
"f'",65,0,37824,38016
"g'",67,0,38016,38208
"f'",65,0,38208,38400
"a'",69,0,38400,38592
"a'",69,0,38592,38976
"g'",67,0,38976,39168
"a'",69,0,39168,39360
"g'",67,0,39360,39552
"f'",65,0,39552,39744
"g'",67,0,39936,40128
"g'",67,0,40128,40512
"g'",67,0,40512,40704
"g'",67,0,40704,40896
"f'",65,0,40896,41088
"g'",67,0,41088,41280
"f'",65,0,41280,41472
"f'",65,0,41472,41664
"f'",65,0,41664,41856
"g'",67,0,41856,42048
"a'",69,0,42048,42240
"c''",72,0,42240,42624
"a'",69,0,43008,43200
"a'",69,0,43200,43584
"a'",69,0,43584,43776
"g'",67,0,43776,43968
"f'",65,0,43968,44160
"g'",67,0,44160,44352
"f'",65,0,44352,44544
"a'",69,0,44544,44736
"a'",69,0,44736,45120
"a'",69,0,45120,45312
"g'",67,0,45312,45504
"f'",65,0,45504,45696
"g'",67,0,45696,45888
"f'",65,0,45888,46080
"f'",65,0,46080,46272
"f'",65,0,46272,46464
"f'",65,0,46464,46656
"f'",65,0,46656,46848
"g'",67,0,46848,47040
"a'",69,0,47040,47232
"g'",67,0,47232,47424
"f'",65,0,47424,47616
"f'",65,0,47616,48768
