"pitch","midi","channel","on_tick","off_tick"
"cis''",73,0,0,192
"e'",64,0,192,384
"a'",69,0,384,576
"cis''",73,0,576,768
"b'",71,0,768,960
"e'",64,0,960,1152
"gis'",68,0,1152,1344
"b'",71,0,1344,1536
"a'",69,0,1536,1728
"d'",62,0,1728,1920
"fis'",66,0,1920,2112
"a'",69,0,2112,2304
"g'",67,0,2304,3072
"fis'",66,0,3072,3264
"d'",62,0,3264,3456
"fis'",66,0,3456,3648
"a'",69,0,3648,3840
"gis'",68,0,3840,4032
"a'",69,0,4032,4224
"b'",71,0,4224,4416
"e'",64,0,4416,4608
"cis''",73,0,4608,5184
"d''",74,0,5184,5280
"cis''",73,0,5280,5376
"b'",71,0,5376,6144
"cis''",73,0,6144,6336
"e'",64,0,6336,6528
"a'",69,0,6528,6720
"cis''",73,0,6720,6912
"b'",71,0,6912,7104
"e'",64,0,7104,7296
"gis'",68,0,7296,7488
"b'",71,0,7488,7680
"a'",69,0,7680,7872
"d'",62,0,7872,8064
"fis'",66,0,8064,8256
"a'",69,0,8256,8448
"g'",67,0,8448,9216
"fis'",66,0,9216,9408
"d'",62,0,9408,9600
"fis'",66,0,9600,9792
"a'",69,0,9792,9984
"gis'",68,0,9984,10176
"a'",69,0,10176,10368
"b'",71,0,10368,10560
"cis''",73,0,10560,10752
"a'",69,0,10752,11904
"cis''",73,0,12288,12864
"d''",74,0,12864,12960
"cis''",73,0,12960,13056
"b'",71,0,13056,13824
"a'",69,0,13824,14400
"b'",71,0,14400,14496
"a'",69,0,14496,14592
"gis'",68,0,14592,15360
"fis'",66,0,15360,15552
"d'",62,0,15552,15744
"fis'",66,0,15744,15936
"a'",69,0,15936,16128
"gis'",68,0,16128,16320
"a'",69,0,16320,16512
"b'",71,0,16512,16704
"e'",64,0,16704,16896
"cis''",73,0,16896,17664
"b'",71,0,17664,18432
"cis''",73,0,18432,19008
"d''",74,0,19008,19104
"cis''",73,0,19104,19200
"b'",71,0,19200,19968
"a'",69,0,19968,20544
"b'",71,0,20544,20640
"a'",69,0,20640,20736
"gis'",68,0,20736,21504
"fis'",66,0,21504,21696
"d'",62,0,21696,21888
"fis'",66,0,21888,22080
"a'",69,0,22080,22272
"gis'",68,0,22272,22464
"a'",69,0,22464,22656
"b'",71,0,22656,22848
"gis'",68,0,22848,23040
"a'",69,0,23040,24192
"cis''",73,0,24576,24768
"e'",64,0,24768,24960
"a'",69,0,24960,25152
"cis''",73,0,25152,25344
"b'",71,0,25344,25536
"e'",64,0,25536,25728
"gis'",68,0,25728,25920
"b'",71,0,25920,26112
"a'",69,0,26112,26304
"d'",62,0,26304,26496
"fis'",66,0,26496,26688
"a'",69,0,26688,26880
"g'",67,0,26880,27648
"fis'",66,0,27648,27840
"d'",62,0,27840,28032
"fis'",66,0,28032,28224
"a'",69,0,28224,28416
"gis'",68,0,28416,28608
"a'",69,0,28608,28800
"b'",71,0,28800,28992
"e'",64,0,28992,29184
"cis''",73,0,29184,29760
"d''",74,0,29760,29856
"cis''",73,0,29856,29952
"b'",71,0,29952,30720
"cis''",73,0,30720,30912
"e'",64,0,30912,31104
"a'",69,0,31104,31296
"cis''",73,0,31296,31488
"b'",71,0,31488,31680
"e'",64,0,31680,31872
"gis'",68,0,31872,32064
"b'",71,0,32064,32256
"a'",69,0,32256,32448
"d'",62,0,32448,32640
"fis'",66,0,32640,32832
"a'",69,0,32832,33024
"g'",67,0,33024,33792
"fis'",66,0,33792,33984
"d'",62,0,33984,34176
"fis'",66,0,34176,34368
"a'",69,0,34368,34560
"gis'",68,0,34560,34752
"a'",69,0,34752,34944
"b'",71,0,34944,35136
"cis''",73,0,35136,35328
"a'",69,0,35328,36480
"cis''",73,0,36864,37440
"d''",74,0,37440,37536
"cis''",73,0,37536,37632
"b'",71,0,37632,38400
"a'",69,0,38400,38976
"b'",71,0,38976,39072
"a'",69,0,39072,39168
"gis'",68,0,39168,39936
"fis'",66,0,39936,40128
"d'",62,0,40128,40320
"fis'",66,0,40320,40512
"a'",69,0,40512,40704
"gis'",68,0,40704,40896
"a'",69,0,40896,41088
"b'",71,0,41088,41280
"e'",64,0,41280,41472
"cis''",73,0,41472,42240
"b'",71,0,42240,43008
"cis''",73,0,43008,43584
"d''",74,0,43584,43680
"cis''",73,0,43680,43776
"b'",71,0,43776,44544
"a'",69,0,44544,45120
"b'",71,0,45120,45216
"a'",69,0,45216,45312
"gis'",68,0,45312,46080
"fis'",66,0,46080,46272
"d'",62,0,46272,46464
"fis'",66,0,46464,46656
"a'",69,0,46656,46848
"gis'",68,0,46848,47040
"a'",69,0,47040,47232
"b'",71,0,47232,47424
"gis'",68,0,47424,47616
"a'",69,0,47616,48768
