"snippet","data_ref","x","y","bar","bar_moment"
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM255_TuhanPenyelamat/GPM255_TuhanPenyelamat_ly_data.ily:58:2:3",10.536,15.732,1.0,"0"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM255_TuhanPenyelamat/GPM255_TuhanPenyelamat_ly_data.ily:58:9:10",14.426,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM255_TuhanPenyelamat/GPM255_TuhanPenyelamat_ly_data.ily:58:13:14",18.461,15.732,"",""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM255_TuhanPenyelamat/GPM255_TuhanPenyelamat_ly_data.ily:58:17:18",21.907,15.732,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM255_TuhanPenyelamat/GPM255_TuhanPenyelamat_ly_data.ily:58:24:25",25.028,15.732,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM255_TuhanPenyelamat/GPM255_TuhanPenyelamat_ly_data.ily:58:28:29",28.782,15.732,"",""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM255_TuhanPenyelamat/GPM255_TuhanPenyelamat_ly_data.ily:58:32:33",33.397,15.732,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM255_TuhanPenyelamat/GPM255_TuhanPenyelamat_ly_data.ily:58:38:39",36.126,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM255_TuhanPenyelamat/GPM255_TuhanPenyelamat_ly_data.ily:58:44:45",40.317,15.732,2.0,"1"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM255_TuhanPenyelamat/GPM255_TuhanPenyelamat_ly_data.ily:58:48:49",45.086,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM255_TuhanPenyelamat/GPM255_TuhanPenyelamat_ly_data.ily:58:52:53",48.481,15.732,"",""
