"snippet","data_ref","x","y","tied_data_refs"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:53:5:6",17.236,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:53:10:11",22.786,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:53:16:17",26.976,15.289,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:53:30:31",45.078,15.289,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:53:35:36",49.429,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:53:39:40",53.566,15.289,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:53:43:44",57.196,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:53:50:51",62.586,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:53:55:56",68.136,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:53:59:60",71.036,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:5:6",82.897,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:9:10",86.257,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:13:14",89.285,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:17:18",93.346,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:21:22",98.14,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:25:26",101.51,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:31:32",105.701,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:35:36",112.451,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:44:45",124.312,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:48:49",127.451,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:52:53",129.88,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:56:57",132.309,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:60:61",135.251,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:64:65",138.245,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:70:71",142.436,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:54:74:75",149.185,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:55:5:6",164.396,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:55:10:11",169.946,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:55:16:17",174.137,15.289,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:55:30:31",192.239,15.289,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:55:35:36",196.59,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:55:39:40",200.727,15.289,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:55:43:44",204.356,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:55:50:51",209.747,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:55:55:56",215.296,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:55:59:60",218.196,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:56:5:6",230.057,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:56:9:10",233.708,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM284_TuhanKu/GPM284_TuhanKu_ly_data.ily:56:13:14",237.641,15.289,""
