"pitch","midi","channel","on_tick","off_tick"
"a",57,0,0,192
"d'",62,0,192,384
"fis'",66,0,384,768
"e'",64,0,768,960
"d'",62,0,960,1152
"b",59,0,1152,1344
"d'",62,0,1344,1536
"e'",64,0,1536,1728
"d'",62,0,1728,1920
"fis'",66,0,1920,2304
"fis'",66,0,2304,3072
"a'",69,0,3072,3264
"b'",71,0,3264,3456
"a'",69,0,3456,3840
"fis'",66,0,3840,4032
"d'",62,0,4032,4224
"b",59,0,4224,4416
"d'",62,0,4416,4608
"fis'",66,0,4608,4800
"d'",62,0,4800,4992
"e'",64,0,4992,5376
"e'",64,0,5376,6144
"a",57,0,6144,6336
"d'",62,0,6336,6528
"fis'",66,0,6528,6912
"e'",64,0,6912,7104
"d'",62,0,7104,7296
"b",59,0,7296,7488
"d'",62,0,7488,7680
"e'",64,0,7680,7872
"d'",62,0,7872,8064
"fis'",66,0,8064,8448
"fis'",66,0,8448,9216
"a'",69,0,9216,9408
"b'",71,0,9408,9600
"a'",69,0,9600,9984
"fis'",66,0,9984,10176
"d'",62,0,10176,10368
"b",59,0,10368,10560
"d'",62,0,10560,10752
"fis'",66,0,10752,10944
"d'",62,0,10944,11136
"d'",62,0,11136,12288
"a",57,0,12288,12480
"d'",62,0,12480,12672
"fis'",66,0,12672,13056
"e'",64,0,13056,13248
"d'",62,0,13248,13440
"b",59,0,13440,13632
"d'",62,0,13632,13824
"e'",64,0,13824,14016
"d'",62,0,14016,14208
"fis'",66,0,14208,14592
"fis'",66,0,14592,15360
"a'",69,0,15360,15552
"b'",71,0,15552,15744
"a'",69,0,15744,16128
"fis'",66,0,16128,16320
"d'",62,0,16320,16512
"b",59,0,16512,16704
"d'",62,0,16704,16896
"fis'",66,0,16896,17088
"d'",62,0,17088,17280
"e'",64,0,17280,17664
"e'",64,0,17664,18432
"a",57,0,18432,18624
"d'",62,0,18624,18816
"fis'",66,0,18816,19200
"e'",64,0,19200,19392
"d'",62,0,19392,19584
"b",59,0,19584,19776
"d'",62,0,19776,19968
"e'",64,0,19968,20160
"d'",62,0,20160,20352
"fis'",66,0,20352,20736
"fis'",66,0,20736,21504
"a'",69,0,21504,21696
"b'",71,0,21696,21888
"a'",69,0,21888,22272
"fis'",66,0,22272,22464
"d'",62,0,22464,22656
"b",59,0,22656,22848
"d'",62,0,22848,23040
"fis'",66,0,23040,23232
"d'",62,0,23232,23424
"d'",62,0,23424,24576
