"snippet","data_ref","x","y","tied_data_refs"
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:52:2:3",10.536,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:52:5:6",14.426,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:52:9:10",18.538,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:52:15:16",22.167,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:52:19:20",24.596,15.289,""
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:52:23:24",28.11,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:52:26:27",31.07,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:53:2:3",35.26,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:53:6:7",39.039,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:53:10:11",42.229,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:53:16:17",45.858,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:54:2:3",54.37,15.289,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:54:6:7",57.286,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:54:10:11",59.879,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:54:14:15",63.508,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:54:20:21",66.937,15.289,""
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:54:24:25",72.304,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:54:27:28",76.663,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:55:2:3",80.854,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:55:8:9",84.624,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:55:12:13",88.3,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:55:16:17",91.93,15.289,""
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:56:2:3",100.441,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:56:5:6",103.102,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:56:9:10",106.846,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:56:15:16",110.476,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:56:19:20",114.237,15.289,""
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:56:23:24",118.127,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:56:26:27",122.657,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:57:2:3",126.848,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:57:6:7",129.799,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:57:10:11",133.885,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:57:16:17",137.514,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:58:2:3",146.026,15.289,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:58:6:7",149.676,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:58:10:11",154.258,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:58:14:15",157.887,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:58:20:21",161.785,15.289,""
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:58:24:25",165.701,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:58:27:28",169.898,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM292_TuhankuAjarlahAkuBersabar/GPM292_TuhankuAjarlahAkuBersabar_ly_data.ily:59:2:3",174.089,15.289,""
