"pitch","midi","channel","on_tick","off_tick"
"e'",64,0,192,384
"e'",64,0,384,576
"f'",65,0,576,768
"e'",64,0,768,960
"d'",62,0,960,1152
"c'",60,0,1152,1344
"d'",62,0,1344,1536
"e'",64,0,1536,1728
"e'",64,0,1728,2112
"d'",62,0,2112,2304
"c'",60,0,2304,2688
"f'",65,0,3072,3264
"f'",65,0,3264,3456
"a'",69,0,3456,3648
"a'",69,0,3648,3840
"g'",67,0,3840,4416
"f'",65,0,4416,4608
"e'",64,0,4608,6144
"e'",64,0,6528,6720
"e'",64,0,6720,6912
"e'",64,0,6912,7104
"d'",62,0,7104,7296
"c'",60,0,7296,7488
"d'",62,0,7488,7680
"e'",64,0,7680,7872
"e'",64,0,7872,8256
"d'",62,0,8256,8448
"c'",60,0,8448,8832
"d'",62,0,9216,9408
"d'",62,0,9408,9600
"d'",62,0,9600,9792
"e'",64,0,9792,9984
"d'",62,0,9984,10176
"c'",60,0,10176,10368
"b",59,0,10368,10560
"c'",60,0,10560,10752
"d'",62,0,10752,12288
"e'",64,0,12480,12672
"e'",64,0,12672,12864
"f'",65,0,12864,13056
"e'",64,0,13056,13248
"d'",62,0,13248,13440
"c'",60,0,13440,13632
"d'",62,0,13632,13824
"e'",64,0,13824,14016
"e'",64,0,14016,14400
"d'",62,0,14400,14592
"c'",60,0,14592,14976
"f'",65,0,15360,15552
"f'",65,0,15552,15744
"a'",69,0,15744,15936
"a'",69,0,15936,16128
"g'",67,0,16128,16704
"f'",65,0,16704,16896
"e'",64,0,16896,18432
"e'",64,0,18816,19008
"e'",64,0,19008,19200
"e'",64,0,19200,19392
"d'",62,0,19392,19584
"c'",60,0,19584,19776
"d'",62,0,19776,19968
"e'",64,0,19968,20160
"e'",64,0,20160,20544
"d'",62,0,20544,20736
"c'",60,0,20736,21120
"f'",65,0,21504,21696
"f'",65,0,21696,21888
"f'",65,0,21888,22080
"f'",65,0,22080,22272
"e'",64,0,22272,22848
"d'",62,0,22848,23040
"c'",60,0,23040,24576
"a'",69,0,24960,25152
"a'",69,0,25152,25344
"a'",69,0,25344,25536
"g'",67,0,25536,25728
"f'",65,0,25728,25920
"g'",67,0,25920,26112
"a'",69,0,26112,26304
"a'",69,0,26304,26688
"g'",67,0,26688,26880
"f'",65,0,26880,27264
"c''",72,0,27648,27840
"c''",72,0,27840,28032
"c''",72,0,28032,28224
"c''",72,0,28224,28416
"b'",71,0,28416,28992
"a'",69,0,28992,29184
"g'",67,0,29184,29760
"f'",65,0,29760,29952
"e'",64,0,29952,30720
"a'",69,0,31104,31296
"a'",69,0,31296,31488
"a'",69,0,31488,31680
"g'",67,0,31680,31872
"f'",65,0,31872,32064
"g'",67,0,32064,32256
"a'",69,0,32256,32448
"a'",69,0,32448,32832
"g'",67,0,32832,33024
"f'",65,0,33024,33408
"c''",72,0,33792,33984
"c''",72,0,33984,34176
"c''",72,0,34176,34368
"c''",72,0,34368,34560
"b'",71,0,34560,35136
"a'",69,0,35136,35328
"g'",67,0,35328,35904
"f'",65,0,35904,36096
"e'",64,0,36096,36864
"e'",64,0,37248,37440
"e'",64,0,37440,37632
"e'",64,0,37632,37824
"d'",62,0,37824,38016
"c'",60,0,38016,38208
"d'",62,0,38208,38400
"e'",64,0,38400,38592
"e'",64,0,38592,38976
"d'",62,0,38976,39168
"c'",60,0,39168,39552
"c'",60,0,39744,39936
"d'",62,0,39936,40128
"d'",62,0,40128,40320
"f'",65,0,40320,40512
"f'",65,0,40512,40704
"e'",64,0,40704,41280
"d'",62,0,41280,41472
"c'",60,0,41472,43008
