"pitch","midi","channel","on_tick","off_tick"
"fis'",66,0,0,576
"e'",64,0,576,768
"d'",62,0,768,1152
"e'",64,0,1152,1536
"fis'",66,0,1536,1920
"fis'",66,0,1920,2304
"fis'",66,0,2304,3072
"e'",64,0,3072,3456
"e'",64,0,3456,3840
"e'",64,0,3840,4608
"fis'",66,0,4608,4992
"a'",69,0,4992,5376
"a'",69,0,5376,6144
"fis'",66,0,6144,6720
"e'",64,0,6720,6912
"d'",62,0,6912,7296
"e'",64,0,7296,7680
"fis'",66,0,7680,8064
"fis'",66,0,8064,8448
"fis'",66,0,8448,8832
"fis'",66,0,8832,9216
"e'",64,0,9216,9600
"e'",64,0,9600,9984
"fis'",66,0,9984,10368
"e'",64,0,10368,10752
"d'",62,0,10752,11904
"gis'",68,0,12288,12864
"fis'",66,0,12864,13056
"e'",64,0,13056,13440
"fis'",66,0,13440,13824
"gis'",68,0,13824,14208
"gis'",68,0,14208,14592
"gis'",68,0,14592,15360
"fis'",66,0,15360,15744
"fis'",66,0,15744,16128
"fis'",66,0,16128,16896
"gis'",68,0,16896,17280
"b'",71,0,17280,17664
"b'",71,0,17664,18432
"gis'",68,0,18432,19008
"fis'",66,0,19008,19200
"e'",64,0,19200,19584
"fis'",66,0,19584,19968
"gis'",68,0,19968,20352
"gis'",68,0,20352,20736
"gis'",68,0,20736,21120
"gis'",68,0,21120,21504
"fis'",66,0,21504,21888
"fis'",66,0,21888,22272
"gis'",68,0,22272,22656
"fis'",66,0,22656,23040
"e'",64,0,23040,24192
