"pitch","midi","channel","on_tick","off_tick"
"d'",62,0,0,192
"d'",62,0,192,384
"fis'",66,0,384,576
"fis'",66,0,576,1536
"e'",64,0,1536,1728
"fis'",66,0,1728,1920
"e'",64,0,1920,2112
"d'",62,0,2112,3072
"fis'",66,0,3072,3264
"g'",67,0,3264,3456
"a'",69,0,3456,3648
"a'",69,0,3648,4608
"g'",67,0,4608,4800
"a'",69,0,4800,4992
"g'",67,0,4992,5184
"fis'",66,0,5184,6144
"a'",69,0,6144,6336
"a'",69,0,6336,6528
"d''",74,0,6528,6720
"d''",74,0,6720,7680
"b'",71,0,7680,7872
"b'",71,0,7872,8064
"a'",69,0,8064,8256
"a'",69,0,8256,9216
"fis'",66,0,9216,9408
"fis'",66,0,9408,9600
"a'",69,0,9600,9792
"fis'",66,0,9792,10368
"e'",64,0,10368,10560
"fis'",66,0,10560,10752
"e'",64,0,10752,10944
"d'",62,0,10944,11136
"d'",62,0,11136,11904
