"snippet","data_ref","x","y","bar","bar_moment"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:44:12:13",10.536,12.736,0.0,"0"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:44:16:17",14.357,12.736,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:44:22:23",18.548,12.736,1.0,"1/4"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:44:28:29",21.345,12.736,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:44:39:40",30.016,12.736,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:44:43:44",32.445,12.736,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:44:51:52",36.636,12.736,2.0,"5/4"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:44:55:56",39.065,12.736,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:45:1:2",47.735,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:45:7:8",51.13,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:45:13:14",55.321,12.736,3.0,"9/4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:45:17:18",57.75,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:45:26:27",66.42,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:45:30:31",68.849,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:45:36:37",73.041,12.736,4.0,"13/4"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:45:40:41",75.47,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:46:1:2",84.14,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:46:5:6",87.962,12.736,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:46:11:12",92.152,12.736,5.0,"17/4"
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:46:16:17",94.95,12.736,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:46:27:28",103.62,12.736,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:46:31:32",106.049,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM003_AngkaDonciPujiTuhan/GPM003_AngkaDonciPujiTuhan_ly_data.ily:46:37:38",110.239,12.736,6.0,"21/4"
