"pitch","midi","channel","on_tick","off_tick"
"e'",64,0,0,192
"f'",65,0,192,384
"g'",67,0,384,1152
"g'",67,0,1152,1536
"a'",69,0,1536,1728
"a'",69,0,1728,1920
"g'",67,0,1920,3072
"e'",64,0,3072,3264
"g'",67,0,3264,3456
"c''",72,0,3456,4224
"c''",72,0,4224,4608
"b'",71,0,4608,4800
"a'",69,0,4800,4992
"g'",67,0,4992,6144
"e'",64,0,6144,6336
"f'",65,0,6336,6528
"g'",67,0,6528,7296
"g'",67,0,7296,7680
"a'",69,0,7680,7872
"a'",69,0,7872,8064
"g'",67,0,8064,9216
"g'",67,0,9216,9408
"e'",64,0,9408,9600
"f'",65,0,9600,9792
"f'",65,0,9792,9984
"f'",65,0,9984,10176
"f'",65,0,10176,10368
"f'",65,0,10368,10560
"d'",62,0,10560,10752
"e'",64,0,10752,10944
"f'",65,0,10944,11136
"g'",67,0,11136,11520
"g'",67,0,11520,12288
"a'",69,0,12288,12672
"g'",67,0,12672,13056
"e'",64,0,13056,13248
"f'",65,0,13248,13440
"g'",67,0,13440,13632
"g'",67,0,13632,13824
"f'",65,0,13824,14208
"e'",64,0,14208,14976
"e'",64,0,15360,15552
"f'",65,0,15552,15744
"g'",67,0,15744,16512
"g'",67,0,16512,16896
"a'",69,0,16896,17088
"a'",69,0,17088,17280
"g'",67,0,17280,18432
"e'",64,0,18432,18624
"g'",67,0,18624,18816
"c''",72,0,18816,19584
"c''",72,0,19584,19968
"b'",71,0,19968,20160
"a'",69,0,20160,20352
"g'",67,0,20352,21504
"e'",64,0,21504,21696
"f'",65,0,21696,21888
"g'",67,0,21888,22656
"g'",67,0,22656,23040
"a'",69,0,23040,23232
"a'",69,0,23232,23424
"g'",67,0,23424,24576
"g'",67,0,24576,24768
"e'",64,0,24768,24960
"f'",65,0,24960,25152
"f'",65,0,25152,25344
"f'",65,0,25344,25536
"f'",65,0,25536,25728
"f'",65,0,25728,25920
"d'",62,0,25920,26112
"e'",64,0,26112,26304
"f'",65,0,26304,26496
"g'",67,0,26496,26880
"g'",67,0,26880,27648
"a'",69,0,27648,28032
"g'",67,0,28032,28416
"e'",64,0,28416,28608
"f'",65,0,28608,28800
"g'",67,0,28800,28992
"g'",67,0,28992,29184
"f'",65,0,29184,29568
"e'",64,0,29568,30336
"e'",64,0,30720,30912
"f'",65,0,30912,31104
"g'",67,0,31104,31872
"g'",67,0,31872,32256
"a'",69,0,32256,32448
"a'",69,0,32448,32640
"g'",67,0,32640,33792
"e'",64,0,33792,33984
"g'",67,0,33984,34176
"c''",72,0,34176,34944
"c''",72,0,34944,35328
"b'",71,0,35328,35520
"a'",69,0,35520,35712
"g'",67,0,35712,36864
"e'",64,0,36864,37056
"f'",65,0,37056,37248
"g'",67,0,37248,38016
"g'",67,0,38016,38400
"a'",69,0,38400,38592
"a'",69,0,38592,38784
"g'",67,0,38784,39936
"g'",67,0,39936,40128
"e'",64,0,40128,40320
"f'",65,0,40320,40512
"f'",65,0,40512,40704
"f'",65,0,40704,40896
"f'",65,0,40896,41088
"f'",65,0,41088,41280
"d'",62,0,41280,41472
"e'",64,0,41472,41664
"f'",65,0,41664,41856
"g'",67,0,41856,42240
"g'",67,0,42240,43008
"a'",69,0,43008,43392
"g'",67,0,43392,43776
"e'",64,0,43776,43968
"f'",65,0,43968,44160
"g'",67,0,44160,44352
"g'",67,0,44352,44544
"f'",65,0,44544,44928
"e'",64,0,44928,45696
