"snippet","data_ref","x","y","tied_data_refs"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:58:15:16",10.536,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:58:19:20",14.852,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:59:4:5",19.043,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:59:8:9",25.793,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:59:12:13",29.422,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:59:16:17",32.86,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:60:4:5",37.05,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:60:9:10",46.92,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:60:13:14",50.981,15.289,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:61:4:5",55.171,15.289,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:61:9:10",61.921,15.289,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:61:14:15",65.55,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:61:18:19",68.988,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:62:4:5",73.178,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:62:9:10",83.049,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:62:13:14",87.365,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:63:4:5",91.556,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM005_DatanglahPadaTuhan/GPM005_DatanglahPadaTuhan_ly_data.ily:63:8:9",98.306,15.289,""
