"pitch","midi","channel","on_tick","off_tick"
"f'",65,0,0,768
"f'",65,0,768,1152
"g'",67,0,1152,1536
"a'",69,0,1536,2112
"g'",67,0,2112,2304
"f'",65,0,2304,3072
"g'",67,0,3072,3840
"f'",65,0,3840,4224
"e'",64,0,4224,4608
"f'",65,0,4608,5760
"a'",69,0,6144,6912
"a'",69,0,6912,7296
"ais'",70,0,7296,7680
"c''",72,0,7680,8256
"ais'",70,0,8256,8448
"a'",69,0,8448,9216
"g'",67,0,9216,9984
"a'",69,0,9984,10368
"ais'",70,0,10368,10752
"g'",67,0,10752,11904
"a'",69,0,12288,13056
"ais'",70,0,13056,13440
"ais'",70,0,13440,13824
"a'",69,0,13824,14592
"c''",72,0,14592,15360
"g'",67,0,15360,16128
"a'",69,0,16128,16512
"ais'",70,0,16512,16896
"a'",69,0,16896,18048
"d''",74,0,18432,19200
"e''",76,0,19200,19584
"d''",74,0,19584,19968
"c''",72,0,19968,20544
"ais'",70,0,20544,20736
"a'",69,0,20736,21504
"f'",65,0,21504,21888
"a'",69,0,21888,22272
"g'",67,0,22272,22656
"g'",67,0,22656,23040
"f'",65,0,23040,24192
