"snippet","data_ref","x","y","bar","bar_moment"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:44:1:2",10.536,12.736,1.0,"0"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:44:5:6",15.882,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:44:9:10",19.942,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:45:1:2",24.631,12.736,2.0,"1"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:45:6:7",29.458,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:45:10:11",31.555,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:46:1:2",38.663,12.736,3.0,"2"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:46:5:6",44.008,12.736,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:46:9:10",47.898,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:47:1:2",52.587,12.736,4.0,"3"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:48:1:2",64.689,12.736,5.0,"4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:48:5:6",70.15,12.736,"",""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:48:9:10",76.165,12.736,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:49:1:2",80.854,12.736,6.0,"5"
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:49:7:8",86.459,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:49:13:14",88.608,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:50:1:2",95.715,12.736,7.0,"6"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:50:5:6",101.061,12.736,"",""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:50:9:10",105.907,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:51:1:2",110.595,12.736,8.0,"7"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:52:1:2",122.698,12.736,9.0,"8"
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:52:5:6",128.286,12.736,"",""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:52:11:12",132.065,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:53:1:2",136.754,12.736,10.0,"9"
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:53:5:6",142.1,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:54:1:2",149.207,12.736,11.0,"10"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:54:5:6",154.553,12.736,"",""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:54:9:10",157.48,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:55:1:2",162.168,12.736,12.0,"11"
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:56:1:2",174.271,12.736,13.0,"12"
"e''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:56:6:7",179.616,12.736,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:56:11:12",183.361,12.736,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:57:1:2",188.05,12.736,14.0,"13"
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:57:7:8",192.877,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:57:13:14",195.367,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:58:1:2",202.474,12.736,15.0,"14"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:58:5:6",205.402,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:58:9:10",209.061,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:58:13:14",213.053,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM013_KuDatangPadaMu/GPM013_KuDatangPadaMu_ly_data.ily:59:1:2",217.742,12.736,16.0,"15"
