"pitch","midi","channel","on_tick","off_tick"
"f''",77,0,384,576
"f''",77,0,576,768
"f''",77,0,768,960
"d''",74,0,960,1152
"f''",77,0,1152,1344
"ais''",82,0,1344,1536
"d'''",86,0,1536,2112
"ais''",82,0,2112,2304
"f''",77,0,2304,2880
"ais''",82,0,2880,3072
"g''",79,0,3072,3648
"ais''",82,0,3648,3840
"a''",81,0,3840,4032
"ais''",82,0,4032,4224
"a''",81,0,4224,4416
"g''",79,0,4416,4608
"f''",77,0,4608,6144
"f''",77,0,6528,6720
"f''",77,0,6720,6912
"f''",77,0,6912,7104
"d''",74,0,7104,7296
"f''",77,0,7296,7488
"ais''",82,0,7488,7680
"a''",81,0,7680,8256
"ais''",82,0,8256,8448
"c'''",84,0,8448,9024
"ais''",82,0,9024,9216
"a''",81,0,9216,9792
"g''",79,0,9792,9984
"f''",77,0,9984,10176
"a''",81,0,10176,10368
"c'''",84,0,10368,10560
"ais''",82,0,10560,10752
"d'''",86,0,10752,12288
"f''",77,0,12672,12864
"f''",77,0,12864,13056
"f''",77,0,13056,13248
"d''",74,0,13248,13440
"f''",77,0,13440,13632
"ais''",82,0,13632,13824
"d'''",86,0,13824,14400
"ais''",82,0,14400,14592
"f''",77,0,14592,15168
"ais''",82,0,15168,15360
"g''",79,0,15360,15936
"ais''",82,0,15936,16128
"ais''",82,0,16128,16320
"ais''",82,0,16320,16512
"a''",81,0,16512,16704
"g''",79,0,16704,16896
"f''",77,0,16896,18432
"f''",77,0,18816,19008
"f''",77,0,19008,19200
"f''",77,0,19200,19392
"d''",74,0,19392,19584
"f''",77,0,19584,19776
"ais''",82,0,19776,19968
"c'''",84,0,19968,20544
"ais''",82,0,20544,20736
"a''",81,0,20736,21312
"ais''",82,0,21312,21504
"c'''",84,0,21504,22080
"d'''",86,0,22080,22272
"dis'''",87,0,22272,22464
"c'''",84,0,22464,22656
"a''",81,0,22656,22848
"c'''",84,0,22848,23040
"ais''",82,0,23040,24576
"ais''",82,0,24768,24960
"c'''",84,0,24960,25152
"ais''",82,0,25152,25344
"a''",81,0,25344,25536
"ais''",82,0,25536,25728
"c'''",84,0,25728,25920
"ais''",82,0,25920,26112
"dis'''",87,0,26112,26688
"ais''",82,0,26688,26880
"g''",79,0,26880,27456
"ais''",82,0,27456,27648
"dis'''",87,0,27648,28224
"d'''",86,0,28224,28416
"c'''",84,0,28416,28608
"f''",77,0,28608,28800
"ais''",82,0,28800,28992
"c'''",84,0,28992,29184
"d'''",86,0,29184,30720
"ais''",82,0,30912,31104
"c'''",84,0,31104,31296
"ais''",82,0,31296,31488
"a''",81,0,31488,31680
"ais''",82,0,31680,31872
"c'''",84,0,31872,32064
"ais''",82,0,32064,32256
"dis'''",87,0,32256,32832
"ais''",82,0,32832,33024
"g''",79,0,33024,33600
"ais''",82,0,33600,33792
"f'''",89,0,33792,33984
"dis'''",87,0,33984,34368
"d'''",86,0,34368,34560
"c'''",84,0,34560,34752
"f''",77,0,34752,34944
"ais''",82,0,34944,35136
"c'''",84,0,35136,35328
"d'''",86,0,35328,36864
"d'''",86,0,37056,37248
"d'''",86,0,37248,37440
"d'''",86,0,37440,37632
"d'''",86,0,37632,37824
"d'''",86,0,37824,38016
"dis'''",87,0,38016,38208
"d'''",86,0,38208,38400
"c'''",84,0,38400,38976
"d'''",86,0,38976,39168
"c'''",84,0,39168,39936
"c'''",84,0,40128,40320
"c'''",84,0,40320,40512
"ais''",82,0,40512,40704
"a''",81,0,40704,40896
"g''",79,0,40896,41088
"a''",81,0,41088,41280
"ais''",82,0,41280,41472
"c'''",84,0,41472,43008
"f'''",89,0,43392,43776
"dis'''",87,0,43776,44352
"c'''",84,0,44352,44544
"d'''",86,0,44544,45504
"c'''",84,0,45504,45696
"ais''",82,0,45696,45888
"a''",81,0,45888,46080
"g''",79,0,46080,46656
"g''",79,0,46656,46848
"g''",79,0,46848,47040
"ais''",82,0,47040,47232
"dis'''",87,0,47232,47424
"g'''",91,0,47424,47616
"f'''",89,0,47616,48192
"dis'''",87,0,48192,48384
"d'''",86,0,48384,49152
"f''",77,0,49536,49920
"d'''",86,0,49920,50112
"c'''",84,0,50112,50304
"d'''",86,0,50304,50496
"dis'''",87,0,50496,50688
"c'''",84,0,50688,51648
"c'''",84,0,51648,51840
"c'''",84,0,51840,52032
"ais''",82,0,52032,52224
"a''",81,0,52224,52800
"f''",77,0,52800,52992
"dis''",75,0,52992,53184
"f''",77,0,53184,53376
"a''",81,0,53376,53568
"c'''",84,0,53568,53760
"ais''",82,0,53760,55296
