"snippet","data_ref","x","y","tied_data_refs"
"f''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:7:8",13.886,12.736,""
"f''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:12:13",17.938,12.736,""
"f''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:17:18",21.077,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:22:23",24.48,12.736,""
"f''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:27:28",27.534,12.736,""
"bes''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:32:33",30.834,12.736,""
"d'''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:41:42",35.025,12.736,""
"bes''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:48:49",40.575,12.736,""
"f''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:55:56",43.004,12.736,""
"bes''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:61:62",48.554,12.736,""
"g''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:70:71",52.744,12.736,""
"bes''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:76:77",58.294,12.736,""
"a''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:83:84",61.894,12.736,""
"bes''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:88:89",65.203,12.736,""
"a''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:95:96",68.231,12.736,""
"g''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:100:101",71.66,12.736,""
"f''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:44:107:108",75.85,12.736,""
"f''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:45:7:8",93.952,12.736,""
"f''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:45:12:13",97.945,12.736,""
"f''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:45:17:18",101.519,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:45:22:23",104.47,12.736,""
"f''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:45:27:28",107.498,12.736,""
"bes''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:45:32:33",110.722,12.736,""
"a''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM014_KuSelaluInginMemujiMu/GPM014_KuSelaluInginMemujiMu_ly_data.ily:45:41:42",114.912,12.736,""
