"pitch","midi","channel","on_tick","off_tick"
"a'",69,0,0,192
"fis'",66,0,192,384
"a'",69,0,384,1536
"b'",71,0,1920,2112
"b'",71,0,2112,2304
"b'",71,0,2304,2400
"b'",71,0,2400,2496
"b'",71,0,2496,2592
"b'",71,0,2592,2688
"b'",71,0,2688,2880
"b'",71,0,2880,3072
"b'",71,0,3072,3264
"b'",71,0,3264,3456
"b'",71,0,3456,3648
"a'",69,0,3648,3840
"a'",69,0,3840,4608
"a'",69,0,4608,4800
"fis'",66,0,4800,4992
"a'",69,0,4992,6144
"b'",71,0,6528,6720
"b'",71,0,6720,6912
"b'",71,0,6912,7008
"b'",71,0,7008,7104
"b'",71,0,7104,7200
"b'",71,0,7200,7296
"b'",71,0,7296,7488
"b'",71,0,7488,7680
"b'",71,0,7680,7872
"b'",71,0,7872,8064
"b'",71,0,8064,8256
"a'",69,0,8256,8448
"a'",69,0,8448,9216
"a'",69,0,9408,9600
"d''",74,0,9600,9792
"d''",74,0,9792,9984
"d''",74,0,9984,10176
"d''",74,0,10176,10368
"d''",74,0,10368,10560
"d''",74,0,10560,10752
"b'",71,0,10752,10848
"a'",69,0,10848,10944
"b'",71,0,10944,11040
"a'",69,0,11040,11136
"a'",69,0,11136,12288
"a'",69,0,12480,12672
"d''",74,0,12672,12864
"d''",74,0,12864,13056
"d''",74,0,13056,13248
"d''",74,0,13248,13440
"d''",74,0,13440,13632
"d''",74,0,13632,13824
"b'",71,0,13824,13920
"a'",69,0,13920,14016
"b'",71,0,14016,14112
"d''",74,0,14112,14208
"d''",74,0,14208,15360
