"snippet","data_ref","x","y","tied_data_refs"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:44:12:13",10.536,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:44:16:17",13.094,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:1:2",17.285,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:11:12",32.195,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:15:16",34.624,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:19:20",38.454,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:24:25",42.19,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:29:30",45.014,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:34:35",47.589,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:39:40",50.89,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:43:44",54.25,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:47:48",57.808,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:51:52",60.844,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:57:58",65.034,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:63:64",67.464,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:45:68:69",69.893,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:46:1:2",76.642,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:46:5:6",79.201,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:46:13:14",83.391,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:46:23:24",98.302,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:46:27:28",100.731,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM016_MaeOIteSombaUpuYesus/GPM016_MaeOIteSombaUpuYesus_ly_data.ily:46:31:32",104.561,12.736,""
