"pitch","midi","channel","on_tick","off_tick"
"d'",62,0,0,288
"a",57,0,288,384
"b",59,0,384,576
"d'",62,0,576,768
"d'",62,0,768,1536
"d'",62,0,1536,1824
"a",57,0,1824,1920
"b",59,0,1920,2112
"d'",62,0,2112,2304
"e'",64,0,2304,3072
"d'",62,0,3072,3360
"a",57,0,3360,3456
"b",59,0,3456,3648
"d'",62,0,3648,3840
"d'",62,0,3840,4032
"d'",62,0,4032,4224
"d'",62,0,4224,4416
"d'",62,0,4416,4608
"e'",64,0,4608,4896
"d'",62,0,4896,4992
"fis'",66,0,4992,5184
"e'",64,0,5184,5376
"d'",62,0,5376,6144
"a'",69,0,6144,6432
"a'",69,0,6432,6528
"b'",71,0,6528,6720
"d''",74,0,6720,6912
"d''",74,0,6912,7680
"a'",69,0,7680,7968
"a'",69,0,7968,8064
"b'",71,0,8064,8256
"a'",69,0,8256,8448
"fis'",66,0,8448,9216
"fis'",66,0,9216,9504
"fis'",66,0,9504,9600
"e'",64,0,9600,9792
"fis'",66,0,9792,9984
"a'",69,0,9984,10272
"a'",69,0,10272,10368
"b'",71,0,10368,10560
"a'",69,0,10560,10752
"fis'",66,0,10752,11040
"fis'",66,0,11040,11136
"a'",69,0,11136,11328
"fis'",66,0,11328,11520
"e'",64,0,11520,12288
"a'",69,0,12288,12576
"a'",69,0,12576,12672
"b'",71,0,12672,12864
"d''",74,0,12864,13056
"d''",74,0,13056,13824
"a'",69,0,13824,14112
"a'",69,0,14112,14208
"b'",71,0,14208,14400
"a'",69,0,14400,14592
"fis'",66,0,14592,15360
"fis'",66,0,15360,15552
"fis'",66,0,15552,15648
"fis'",66,0,15648,15744
"e'",64,0,15744,15936
"fis'",66,0,15936,16128
"a'",69,0,16128,16416
"a'",69,0,16416,16512
"b'",71,0,16512,16704
"a'",69,0,16704,16896
"fis'",66,0,16896,17088
"e'",64,0,17088,17184
"d'",62,0,17184,17280
"fis'",66,0,17280,17472
"e'",64,0,17472,17664
"d'",62,0,17664,18432
"d'",62,0,18432,18720
"a",57,0,18720,18816
"b",59,0,18816,19008
"d'",62,0,19008,19200
"d'",62,0,19200,19968
"d'",62,0,19968,20256
"a",57,0,20256,20352
"b",59,0,20352,20544
"d'",62,0,20544,20736
"e'",64,0,20736,21504
"d'",62,0,21504,21792
"a",57,0,21792,21888
"b",59,0,21888,22080
"d'",62,0,22080,22272
"d'",62,0,22272,22464
"d'",62,0,22464,22656
"d'",62,0,22656,22848
"d'",62,0,22848,23040
"e'",64,0,23040,23328
"d'",62,0,23328,23424
"fis'",66,0,23424,23616
"e'",64,0,23616,23808
"d'",62,0,23808,24576
"a'",69,0,24576,24864
"a'",69,0,24864,24960
"b'",71,0,24960,25152
"d''",74,0,25152,25344
"d''",74,0,25344,26112
"a'",69,0,26112,26400
"a'",69,0,26400,26496
"b'",71,0,26496,26688
"a'",69,0,26688,26880
"fis'",66,0,26880,27648
"fis'",66,0,27648,27936
"fis'",66,0,27936,28032
"e'",64,0,28032,28224
"fis'",66,0,28224,28416
"a'",69,0,28416,28704
"a'",69,0,28704,28800
"b'",71,0,28800,28992
"a'",69,0,28992,29184
"fis'",66,0,29184,29472
"fis'",66,0,29472,29568
"a'",69,0,29568,29760
"fis'",66,0,29760,29952
"e'",64,0,29952,30720
"a'",69,0,30720,31008
"a'",69,0,31008,31104
"b'",71,0,31104,31296
"d''",74,0,31296,31488
"d''",74,0,31488,32256
"a'",69,0,32256,32544
"a'",69,0,32544,32640
"b'",71,0,32640,32832
"a'",69,0,32832,33024
"fis'",66,0,33024,33792
"fis'",66,0,33792,33984
"fis'",66,0,33984,34080
"fis'",66,0,34080,34176
"e'",64,0,34176,34368
"fis'",66,0,34368,34560
"a'",69,0,34560,34848
"a'",69,0,34848,34944
"b'",71,0,34944,35136
"a'",69,0,35136,35328
"fis'",66,0,35328,35520
"e'",64,0,35520,35616
"d'",62,0,35616,35712
"fis'",66,0,35712,35904
"e'",64,0,35904,36096
"d'",62,0,36096,36864
