"snippet","data_ref","x","y","bar","bar_moment"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:2:3",10.536,15.289,1.0,"0"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:6:7",13.094,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:10:11",17.444,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:14:15",21.402,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:18:19",25.275,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:22:23",29.301,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:26:27",34.019,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:32:33",38.344,15.289,2.0,"1"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:36:37",40.834,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:40:41",45.184,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:44:45",48.306,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:48:49",51.888,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:52:53",55.821,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:55:56:57",59.404,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:56:2:3",63.627,15.289,3.0,"2"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:56:6:7",66.056,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:56:10:11",70.405,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:56:14:15",73.066,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:56:18:19",76.043,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:56:22:23",78.584,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM022_MariBernyanyilah/GPM022_MariBernyanyilah_ly_data.ily:56:26:27",81.013,15.289,"",""
