"pitch","midi","channel","on_tick","off_tick"
"d''",74,0,0,384
"b'",71,0,384,960
"b'",71,0,960,1152
"a'",69,0,1152,1440
"g'",67,0,1440,1536
"a'",69,0,1536,1728
"b'",71,0,1728,1920
"d''",74,0,1920,2304
"d''",74,0,2304,3072
"b'",71,0,3072,3456
"d''",74,0,3456,4032
"b'",71,0,4032,4224
"a'",69,0,4224,4512
"g'",67,0,4512,4608
"a'",69,0,4608,4800
"b'",71,0,4800,4992
"a'",69,0,4992,6144
"d''",74,0,6144,6528
"b'",71,0,6528,7104
"b'",71,0,7104,7296
"a'",69,0,7296,7584
"g'",67,0,7584,7680
"a'",69,0,7680,7872
"b'",71,0,7872,8064
"d''",74,0,8064,8448
"d''",74,0,8448,9216
"d''",74,0,9216,9408
"b'",71,0,9408,9600
"d''",74,0,9600,9792
"b'",71,0,9792,10176
"b'",71,0,10176,10368
"a'",69,0,10368,10656
"g'",67,0,10656,10752
"a'",69,0,10752,10944
"b'",71,0,10944,11136
"g'",67,0,11136,12288
"g'",67,0,12672,13248
"b'",71,0,13248,13440
"d''",74,0,13440,13824
"b'",71,0,13824,14016
"d''",74,0,14016,14208
"e''",76,0,14208,14592
"e''",76,0,14592,14976
"d''",74,0,14976,15744
"g'",67,0,15744,16320
"b'",71,0,16320,16512
"d''",74,0,16512,16896
"d''",74,0,16896,17088
"b'",71,0,17088,17280
"e''",76,0,17280,17472
"d''",74,0,17472,17664
"b'",71,0,17664,18048
"a'",69,0,18048,18816
"g'",67,0,18816,19392
"b'",71,0,19392,19584
"d''",74,0,19584,19968
"b'",71,0,19968,20160
"d''",74,0,20160,20352
"e''",76,0,20352,20736
"e''",76,0,20736,21120
"d''",74,0,21120,21888
"g'",67,0,21888,22464
"b'",71,0,22464,22656
"d''",74,0,22656,23040
"d''",74,0,23040,23232
"b'",71,0,23232,23424
"e''",76,0,23424,23616
"d''",74,0,23616,23808
"b'",71,0,23808,24000
"a'",69,0,24000,24192
"g'",67,0,24192,24960
