"snippet","data_ref","x","y","tied_data_refs"
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:44:12:13",10.536,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:45:1:2",15.926,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:45:6:7",21.476,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:45:10:11",23.905,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:45:15:16",28.234,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:45:20:21",33.08,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:45:24:25",38.336,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:46:1:2",42.527,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:46:6:7",46.156,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:46:11:12",52.906,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:47:1:2",58.297,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:47:7:8",63.846,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:47:11:12",66.729,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:47:16:17",71.652,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:47:21:22",73.8,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:47:27:28",76.23,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:48:1:2",80.421,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:48:6:7",90.291,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:49:1:2",95.682,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:49:6:7",101.231,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:49:10:11",103.66,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:49:15:16",107.99,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:49:20:21",110.275,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:49:24:25",114.557,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:50:1:2",118.968,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:50:6:7",122.597,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:50:11:12",129.347,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:50:16:17",132.776,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:1:2",136.966,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:6:7",139.396,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:10:11",143.745,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:14:15",146.174,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:19:20",151.669,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:24:25",154.603,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:30:31",157.032,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:52:1:2",161.223,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:53:1:2",176.134,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:53:6:7",181.683,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:53:10:11",184.702,12.736,""
