"pitch","midi","channel","on_tick","off_tick"
"c'",60,0,0,384
"c'",60,0,384,768
"c'",60,0,768,1152
"g'",67,0,1152,1536
"g'",67,0,1536,1920
"g'",67,0,1920,2112
"g'",67,0,2112,2304
"a'",69,0,2304,2688
"c''",72,0,2688,3072
"a'",69,0,3072,3456
"g'",67,0,3456,4224
"e'",64,0,4608,4992
"e'",64,0,4992,5376
"e'",64,0,5376,5760
"a'",69,0,5760,6144
"g'",67,0,6144,6528
"e'",64,0,6528,6912
"d'",62,0,6912,7296
"d'",62,0,7296,7680
"e'",64,0,7680,8064
"d'",62,0,8064,8832
"c'",60,0,9216,9600
"c'",60,0,9600,9984
"c'",60,0,9984,10368
"g'",67,0,10368,10752
"g'",67,0,10752,11136
"g'",67,0,11136,11328
"g'",67,0,11328,11520
"a'",69,0,11520,11904
"c''",72,0,11904,12288
"a'",69,0,12288,12672
"g'",67,0,12672,13440
"a'",69,0,13824,14208
"c''",72,0,14208,14592
"a'",69,0,14592,14976
"g'",67,0,14976,15360
"e'",64,0,15360,15744
"g'",67,0,15744,15936
"g'",67,0,15936,16128
"a'",69,0,16128,16512
"g'",67,0,16512,16896
"a'",69,0,16896,17280
"c''",72,0,17280,18432
"c'",60,0,18432,18816
"c'",60,0,18816,19200
"c'",60,0,19200,19584
"g'",67,0,19584,19968
"g'",67,0,19968,20352
"g'",67,0,20352,20544
"g'",67,0,20544,20736
"a'",69,0,20736,21120
"c''",72,0,21120,21504
"a'",69,0,21504,21888
"g'",67,0,21888,22656
"e'",64,0,23040,23424
"e'",64,0,23424,23808
"e'",64,0,23808,24192
"a'",69,0,24192,24576
"g'",67,0,24576,24960
"e'",64,0,24960,25344
"d'",62,0,25344,25728
"d'",62,0,25728,26112
"e'",64,0,26112,26496
"d'",62,0,26496,27264
"c'",60,0,27648,28032
"c'",60,0,28032,28416
"c'",60,0,28416,28800
"g'",67,0,28800,29184
"g'",67,0,29184,29568
"g'",67,0,29568,29760
"g'",67,0,29760,29952
"a'",69,0,29952,30336
"c''",72,0,30336,30720
"a'",69,0,30720,31104
"g'",67,0,31104,31872
"a'",69,0,32256,32640
"c''",72,0,32640,33024
"a'",69,0,33024,33408
"g'",67,0,33408,33792
"e'",64,0,33792,34176
"g'",67,0,34176,34368
"g'",67,0,34368,34560
"a'",69,0,34560,34944
"g'",67,0,34944,35328
"a'",69,0,35328,35712
"c''",72,0,35712,36864
