"snippet","data_ref","x","y","bar","bar_moment"
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM032_PujilahTuhanDenganTifaGong/GPM032_PujilahTuhanDenganTifaGong_ly_data.ily:60:4:5",10.536,15.289,1.0,"0"
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM032_PujilahTuhanDenganTifaGong/GPM032_PujilahTuhanDenganTifaGong_ly_data.ily:60:8:9",13.463,15.289,"",""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM032_PujilahTuhanDenganTifaGong/GPM032_PujilahTuhanDenganTifaGong_ly_data.ily:60:12:13",16.39,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM032_PujilahTuhanDenganTifaGong/GPM032_PujilahTuhanDenganTifaGong_ly_data.ily:61:4:5",21.079,15.289,2.0,"3/4"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM032_PujilahTuhanDenganTifaGong/GPM032_PujilahTuhanDenganTifaGong_ly_data.ily:61:8:9",24.969,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM032_PujilahTuhanDenganTifaGong/GPM032_PujilahTuhanDenganTifaGong_ly_data.ily:61:12:13",28.936,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM032_PujilahTuhanDenganTifaGong/GPM032_PujilahTuhanDenganTifaGong_ly_data.ily:61:16:17",33.201,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM032_PujilahTuhanDenganTifaGong/GPM032_PujilahTuhanDenganTifaGong_ly_data.ily:62:4:5",37.356,15.289,3.0,"3/2"
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM032_PujilahTuhanDenganTifaGong/GPM032_PujilahTuhanDenganTifaGong_ly_data.ily:62:8:9",40.283,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM032_PujilahTuhanDenganTifaGong/GPM032_PujilahTuhanDenganTifaGong_ly_data.ily:62:13:14",43.942,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM032_PujilahTuhanDenganTifaGong/GPM032_PujilahTuhanDenganTifaGong_ly_data.ily:63:4:5",48.631,15.289,4.0,"9/4"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM032_PujilahTuhanDenganTifaGong/GPM032_PujilahTuhanDenganTifaGong_ly_data.ily:64:4:5",58.315,15.289,5.0,"3"
