"pitch","midi","channel","on_tick","off_tick"
"c''",72,0,0,192
"b'",71,0,192,384
"c''",72,0,384,576
"b'",71,0,576,768
"c''",72,0,768,1152
"c''",72,0,1152,1344
"b'",71,0,1344,1536
"a'",69,0,1536,1728
"a'",69,0,1728,1920
"a'",69,0,1920,2112
"g'",67,0,2112,2208
"a'",69,0,2208,2304
"c''",72,0,2304,3072
"a'",69,0,3072,3264
"a'",69,0,3264,3456
"a'",69,0,3456,3648
"g'",67,0,3648,3744
"a'",69,0,3744,3840
"c''",72,0,3840,4224
"c''",72,0,4224,4416
"c''",72,0,4416,4608
"b'",71,0,4608,4800
"b'",71,0,4800,4992
"b'",71,0,4992,5184
"b'",71,0,5184,5376
"c''",72,0,5376,6144
"c''",72,0,6144,6336
"b'",71,0,6336,6528
"c''",72,0,6528,6720
"b'",71,0,6720,6912
"c''",72,0,6912,7296
"c''",72,0,7296,7488
"b'",71,0,7488,7680
"a'",69,0,7680,7872
"a'",69,0,7872,8064
"a'",69,0,8064,8256
"g'",67,0,8256,8352
"a'",69,0,8352,8448
"c''",72,0,8448,9216
"a'",69,0,9216,9408
"a'",69,0,9408,9600
"a'",69,0,9600,9792
"g'",67,0,9792,9888
"a'",69,0,9888,9984
"c''",72,0,9984,10368
"c''",72,0,10368,10560
"c''",72,0,10560,10752
"b'",71,0,10752,10944
"b'",71,0,10944,11136
"b'",71,0,11136,11328
"b'",71,0,11328,11520
"c''",72,0,11520,12288
"c'",60,0,12288,12480
"d'",62,0,12480,12672
"e'",64,0,12672,12864
"c'",60,0,12864,13056
"f'",65,0,13056,13248
"e'",64,0,13248,13440
"d'",62,0,13440,13824
"e'",64,0,13824,14976
"c'",60,0,15360,15552
"d'",62,0,15552,15744
"e'",64,0,15744,15936
"c'",60,0,15936,16128
"f'",65,0,16128,16320
"e'",64,0,16320,16512
"d'",62,0,16512,16896
"c'",60,0,16896,17280
"c''",72,0,17280,17664
"c''",72,0,17664,18048
