"snippet","data_ref","x","y","tied_data_refs"
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:44:1:2",10.536,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:44:8:9",12.965,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:44:13:14",15.394,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:44:20:21",17.823,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:44:25:26",20.252,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:44:30:31",23.882,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:44:37:38",26.311,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:45:1:2",30.532,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:45:5:6",32.962,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:45:9:10",35.631,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:45:13:14",38.06,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:45:20:21",39.96,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:45:26:27",41.86,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:46:1:2",50.371,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:46:5:6",52.8,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:46:9:10",55.478,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:46:13:14",58.369,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:46:20:21",60.98,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:46:26:27",63.591,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:46:31:32",67.25,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:46:36:37",69.757,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:47:1:2",73.948,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:47:5:6",77.752,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:47:9:10",82.795,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:47:13:14",88.008,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:47:17:18",91.104,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:48:1:2",99.615,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:48:8:9",102.044,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:48:13:14",104.473,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:48:20:21",106.902,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:48:25:26",109.332,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:48:30:31",112.961,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:48:37:38",115.39,12.736,""
