"pitch","midi","channel","on_tick","off_tick"
"fis'",66,0,0,192
"g'",67,0,192,384
"a'",69,0,384,768
"a'",69,0,768,1152
"a'",69,0,1152,1536
"a'",69,0,1536,1728
"a'",69,0,1728,1920
"b'",71,0,1920,2304
"b'",71,0,2304,2688
"a'",69,0,2688,3072
"d'",62,0,3072,3264
"e'",64,0,3264,3456
"fis'",66,0,3456,3840
"e'",64,0,3840,4032
"d'",62,0,4032,4224
"e'",64,0,4224,4608
"fis'",66,0,4608,4992
"e'",64,0,4992,5760
"fis'",66,0,6144,6336
"g'",67,0,6336,6528
"a'",69,0,6528,6912
"a'",69,0,6912,7296
"a'",69,0,7296,7680
"a'",69,0,7680,7872
"a'",69,0,7872,8064
"b'",71,0,8064,8448
"b'",71,0,8448,8832
"a'",69,0,8832,9216
"d'",62,0,9216,9408
"e'",64,0,9408,9600
"fis'",66,0,9600,9984
"g'",67,0,9984,10176
"fis'",66,0,10176,10368
"e'",64,0,10368,10752
"cis'",61,0,10752,11136
"d'",62,0,11136,11904
"cis'",61,0,12288,12480
"d'",62,0,12480,12672
"e'",64,0,12672,13056
"e'",64,0,13056,13440
"e'",64,0,13440,13824
"d'",62,0,13824,14016
"e'",64,0,14016,14208
"fis'",66,0,14208,14592
"fis'",66,0,14592,14976
"fis'",66,0,14976,15360
"e'",64,0,15360,15552
"fis'",66,0,15552,15744
"g'",67,0,15744,16128
"g'",67,0,16128,16320
"g'",67,0,16320,16512
"fis'",66,0,16512,16896
"fis'",66,0,16896,17088
"d'",62,0,17088,17280
"e'",64,0,17280,18048
"fis'",66,0,18432,18624
"e'",64,0,18624,18816
"d'",62,0,18816,19200
"d'",62,0,19200,19584
"d'",62,0,19584,19968
"e'",64,0,19968,20160
"d'",62,0,20160,20352
"d'",62,0,20352,20736
"b",59,0,20736,21120
"b",59,0,21120,21504
"d'",62,0,21504,21696
"e'",64,0,21696,21888
"fis'",66,0,21888,22464
"fis'",66,0,22464,22656
"fis'",66,0,22656,23040
"a'",69,0,23040,23424
"a'",69,0,23424,23808
"g'",67,0,23808,24192
"fis'",66,0,24576,24768
"e'",64,0,24768,24960
"d'",62,0,24960,25344
"d'",62,0,25344,25536
"d'",62,0,25536,25728
"cis'",61,0,25728,26304
"d'",62,0,26304,26496
"d'",62,0,26496,27264
"fis'",66,0,27648,27840
"g'",67,0,27840,28032
"a'",69,0,28032,28416
"a'",69,0,28416,28800
"a'",69,0,28800,29184
"a'",69,0,29184,29376
"a'",69,0,29376,29568
"b'",71,0,29568,29952
"b'",71,0,29952,30336
"a'",69,0,30336,30720
"d'",62,0,30720,30912
"e'",64,0,30912,31104
"fis'",66,0,31104,31488
"e'",64,0,31488,31680
"d'",62,0,31680,31872
"e'",64,0,31872,32256
"fis'",66,0,32256,32640
"e'",64,0,32640,33408
"fis'",66,0,33792,33984
"g'",67,0,33984,34176
"a'",69,0,34176,34560
"a'",69,0,34560,34944
"a'",69,0,34944,35328
"a'",69,0,35328,35520
"a'",69,0,35520,35712
"b'",71,0,35712,36096
"b'",71,0,36096,36480
"a'",69,0,36480,36864
"d'",62,0,36864,37056
"e'",64,0,37056,37248
"fis'",66,0,37248,37632
"g'",67,0,37632,37824
"fis'",66,0,37824,38016
"e'",64,0,38016,38400
"cis'",61,0,38400,38784
"d'",62,0,38784,39552
"cis'",61,0,39936,40128
"d'",62,0,40128,40320
"e'",64,0,40320,40704
"e'",64,0,40704,41088
"e'",64,0,41088,41472
"d'",62,0,41472,41664
"e'",64,0,41664,41856
"fis'",66,0,41856,42240
"fis'",66,0,42240,42624
"fis'",66,0,42624,43008
"e'",64,0,43008,43200
"fis'",66,0,43200,43392
"g'",67,0,43392,43776
"g'",67,0,43776,43968
"g'",67,0,43968,44160
"fis'",66,0,44160,44544
"fis'",66,0,44544,44736
"d'",62,0,44736,44928
"e'",64,0,44928,45696
"fis'",66,0,46080,46272
"e'",64,0,46272,46464
"d'",62,0,46464,46848
"d'",62,0,46848,47232
"d'",62,0,47232,47616
"e'",64,0,47616,47808
"d'",62,0,47808,48000
"d'",62,0,48000,48384
"b",59,0,48384,48768
"b",59,0,48768,49152
"d'",62,0,49152,49344
"e'",64,0,49344,49536
"fis'",66,0,49536,50112
"fis'",66,0,50112,50304
"fis'",66,0,50304,50688
"a'",69,0,50688,51072
"a'",69,0,51072,51456
"g'",67,0,51456,51840
"fis'",66,0,52224,52416
"e'",64,0,52416,52608
"d'",62,0,52608,52992
"d'",62,0,52992,53184
"d'",62,0,53184,53376
"cis'",61,0,53376,53952
"d'",62,0,53952,54144
"d'",62,0,54144,54912
