"snippet","data_ref","x","y","tied_data_refs"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:69:13:14",10.536,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:69:19:20",15.04,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:70:2:3",19.231,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:70:6:7",22.86,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:70:10:11",26.528,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:70:14:15",31.57,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:70:18:19",35.93,15.289,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:71:2:3",40.12,15.289,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:71:6:7",43.75,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:71:10:11",47.656,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:71:14:15",51.452,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:71:18:19",54.574,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:72:2:3",58.765,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:72:8:9",62.394,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:72:12:13",66.386,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:72:16:17",70.413,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:72:20:21",74.064,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:73:2:3",79.454,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:75:2:3",89.554,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM044_DenganApakah/GPM044_DenganApakah_ly_data.ily:75:8:9",94.058,15.289,""
