"pitch","midi","channel","on_tick","off_tick"
"f'",65,0,0,384
"g'",67,0,384,768
"gis'",68,0,768,1152
"ais'",70,0,1152,1536
"c''",72,0,1536,1920
"ais'",70,0,1920,2304
"gis'",68,0,2304,2688
"g'",67,0,2688,3072
"f'",65,0,3072,4224
"dis'",63,0,4224,4608
"f'",65,0,4608,5760
"gis'",68,0,6144,6528
"ais'",70,0,6528,6912
"c''",72,0,6912,7296
"cis''",73,0,7296,7680
"c''",72,0,7680,8064
"ais'",70,0,8064,8448
"gis'",68,0,8448,8832
"ais'",70,0,8832,9216
"c''",72,0,9216,10368
"f'",65,0,10752,11136
"g'",67,0,11136,11520
"gis'",68,0,11520,11904
"ais'",70,0,11904,12288
"c''",72,0,12288,12672
"ais'",70,0,12672,13056
"gis'",68,0,13056,13440
"g'",67,0,13440,13824
"f'",65,0,13824,14976
"dis'",63,0,14976,15360
"f'",65,0,15360,16512
"c''",72,0,16896,17280
"c''",72,0,17280,17664
"c''",72,0,17664,18048
"cis''",73,0,18048,18432
"c''",72,0,18432,18816
"ais'",70,0,18816,19200
"gis'",68,0,19200,19584
"g'",67,0,19584,19968
"f'",65,0,19968,21504
