"snippet","data_ref","x","y","bar","bar_moment"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:43:1:2",10.536,12.736,1.0,"0"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:43:5:6",13.751,12.736,"",""
"as'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:43:9:10",16.679,12.736,"",""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:43:14:15",19.834,12.736,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:44:1:2",24.523,12.736,2.0,"1"
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:44:6:7",27.525,12.736,"",""
"as'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:44:12:13",31.304,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:44:17:18",34.358,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:45:1:2",39.046,12.736,3.0,"2"
"es'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:45:6:7",46.811,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:46:1:2",51.499,12.736,4.0,"3"
"as'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:47:1:2",63.602,12.736,5.0,"4"
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:47:6:7",66.689,12.736,"",""
