"pitch","midi","channel","on_tick","off_tick"
"g'",67,0,384,576
"g'",67,0,576,768
"g'",67,0,768,1344
"f'",65,0,1344,1536
"a'",69,0,1536,1920
"g'",67,0,1920,3072
"g'",67,0,3456,3648
"a'",69,0,3648,3840
"ais'",70,0,3840,4032
"a'",69,0,4032,4416
"g'",67,0,4416,4608
"a'",69,0,4608,4992
"g'",67,0,4992,5760
"f'",65,0,5760,6144
"e'",64,0,6144,6336
"e'",64,0,6528,6720
"e'",64,0,6720,6912
"e'",64,0,6912,7488
"g'",67,0,7488,7680
"g'",67,0,7680,8064
"f'",65,0,8064,8832
"g'",67,0,8832,9024
"f'",65,0,9024,9216
"e'",64,0,9216,10752
"g'",67,0,11136,11328
"g'",67,0,11328,11520
"g'",67,0,11520,12096
"f'",65,0,12096,12288
"a'",69,0,12288,12672
"g'",67,0,12672,13824
"g'",67,0,14208,14400
"a'",69,0,14400,14592
"ais'",70,0,14592,14784
"a'",69,0,14784,15168
"g'",67,0,15168,15360
"a'",69,0,15360,15744
"g'",67,0,15744,16512
"f'",65,0,16512,16896
"e'",64,0,16896,17088
"e'",64,0,17280,17472
"e'",64,0,17472,17664
"e'",64,0,17664,18240
"g'",67,0,18240,18432
"g'",67,0,18432,18816
"f'",65,0,18816,19584
"g'",67,0,19584,19776
"f'",65,0,19776,19968
"e'",64,0,19968,21504
