"snippet","data_ref","x","y","bar","bar_moment"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:52:7:8",13.886,15.289,1.0,"0"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:52:11:12",18.117,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:52:15:16",21.708,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:52:20:21",27.258,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:53:4:5",31.449,15.289,2.0,"1"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:53:8:9",35.078,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:54:27:28",50.059,15.289,3.0,"2"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:54:33:34",54.786,15.289,"",""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:54:58:59",58.328,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:54:66:67",61.101,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:54:71:72",65.451,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:55:4:5",69.641,15.289,4.0,"3"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:55:10:11",73.27,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:55:14:15",80.02,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:56:4:5",85.411,15.289,5.0,"4"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:56:11:12",90.04,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:56:15:16",94.271,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:56:19:20",97.862,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:56:24:25",103.412,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:57:24:25",107.602,15.289,6.0,"5"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:57:30:31",111.232,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:57:55:56",117.981,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:57:61:62",120.41,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM055_TuhanKasihani/GPM055_TuhanKasihani_ly_data.ily:58:4:5",124.601,15.289,7.0,"6"
