"pitch","midi","channel","on_tick","off_tick"
"e'",64,0,0,192
"e'",64,0,192,768
"e'",64,0,768,960
"d'",62,0,960,1152
"e'",64,0,1152,1344
"f'",65,0,1344,1536
"g'",67,0,1536,1728
"g'",67,0,1728,2304
"g'",67,0,2496,2688
"f'",65,0,2688,2880
"e'",64,0,2880,3072
"d'",62,0,3072,3456
"d'",62,0,3456,3648
"e'",64,0,3648,3840
"f'",65,0,3840,4224
"g'",67,0,4224,4608
"f'",65,0,4608,4800
"e'",64,0,4800,5760
"c'",60,0,5952,6144
"f'",65,0,6144,6336
"f'",65,0,6336,6528
"f'",65,0,6528,6720
"g'",67,0,6720,6912
"a'",69,0,6912,7296
"d''",74,0,7296,7488
"c''",72,0,7488,7680
"b'",71,0,7680,7872
"c''",72,0,7872,8064
"b'",71,0,8064,8256
"a'",69,0,8256,8448
"a'",69,0,8448,9216
"g'",67,0,9216,9984
"g'",67,0,10176,10368
"c''",72,0,10368,10560
"e'",64,0,10560,10752
"g'",67,0,10752,11136
"f'",65,0,11136,11712
"c''",72,0,11712,11904
"b'",71,0,11904,12096
"a'",69,0,12096,12288
"a'",69,0,12288,12672
"g'",67,0,12672,13440
"c''",72,0,13440,13632
"c''",72,0,13632,13824
"c''",72,0,13824,14016
"a'",69,0,14016,14208
"a'",69,0,14208,14400
"c''",72,0,14400,14592
"c''",72,0,14592,14784
"b'",71,0,14784,14976
"a'",69,0,14976,15168
"b'",71,0,15168,15360
"c''",72,0,15360,15744
"c''",72,0,15744,16128
"g'",67,0,16320,16512
"g'",67,0,16512,16704
"f'",65,0,16704,16896
"e'",64,0,16896,17280
"e'",64,0,17280,17664
"g'",67,0,17664,17856
"g'",67,0,17856,18048
"f'",65,0,18048,18240
"e'",64,0,18240,18432
"g'",67,0,18432,18816
"f'",65,0,18816,19200
"f'",65,0,19392,19584
"f'",65,0,19584,19776
"e'",64,0,19776,19968
"d'",62,0,19968,20352
"d'",62,0,20352,20736
"d'",62,0,20736,20928
"d'",62,0,20928,21120
"c'",60,0,21120,21312
"d'",62,0,21312,21504
"f'",65,0,21504,21888
"e'",64,0,21888,22272
"g'",67,0,22464,22656
"g'",67,0,22656,22848
"f'",65,0,22848,23040
"e'",64,0,23040,23232
"e'",64,0,23232,23424
"e'",64,0,23424,23616
"c''",72,0,23616,23808
"c''",72,0,23808,24000
"c''",72,0,24000,24192
"b'",71,0,24192,24384
"c''",72,0,24384,24576
"d''",74,0,24576,25344
"d''",74,0,25344,25536
"c''",72,0,25536,25728
"b'",71,0,25728,25920
"a'",69,0,25920,26112
"a'",69,0,26112,26880
"c''",72,0,27072,27264
"b'",71,0,27264,27456
"a'",69,0,27456,27648
"g'",67,0,27648,27840
"c''",72,0,27840,28224
"c''",72,0,28224,28416
"e''",76,0,28416,28608
"d''",74,0,28608,28800
"a'",69,0,28800,28992
"b'",71,0,28992,29184
"c''",72,0,29184,30720
