"snippet","data_ref","x","y","bar","bar_moment"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:43:1:2",10.536,12.736,1.0,"0"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:43:5:6",12.965,12.736,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:43:10:11",18.515,12.736,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:43:14:15",20.944,12.736,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:43:18:19",25.508,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:43:22:23",30.533,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:44:1:2",34.724,12.736,2.0,"1"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:44:5:6",37.153,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:44:13:14",44.903,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:44:17:18",47.427,12.736,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:44:21:22",50.745,12.736,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:45:1:2",54.936,12.736,3.0,"2"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:45:5:6",58.565,12.736,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:45:9:10",60.995,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:45:13:14",64.936,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:45:17:18",69.688,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:46:1:2",75.078,12.736,4.0,"3"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:46:5:6",77.508,12.736,"",""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:46:17:18",88.378,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:47:1:2",93.778,12.736,5.0,"4"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:47:5:6",98.317,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM084_JikaAdaYangBerkata/GPM084_JikaAdaYangBerkata_ly_data.ily:47:9:10",102.83,12.736,"",""
