"pitch","midi","channel","on_tick","off_tick"
"a'",69,0,0,384
"a'",69,0,384,576
"b'",71,0,576,768
"a'",69,0,768,1152
"fis'",66,0,1152,1536
"b'",71,0,1536,1920
"b'",71,0,1920,2112
"b'",71,0,2112,2304
"b'",71,0,2304,2688
"a'",69,0,2688,3072
"a'",69,0,3072,3456
"a'",69,0,3456,3648
"b'",71,0,3648,3840
"a'",69,0,3840,4224
"fis'",66,0,4224,4608
"e'",64,0,4608,4800
"e'",64,0,4800,4992
"e'",64,0,4992,5184
"fis'",66,0,5184,5376
"e'",64,0,5376,6144
"a'",69,0,6144,6528
"a'",69,0,6528,6720
"b'",71,0,6720,6912
"a'",69,0,6912,7296
"fis'",66,0,7296,7680
"b'",71,0,7680,7872
"b'",71,0,7872,8064
"b'",71,0,8064,8256
"b'",71,0,8256,8448
"d''",74,0,8448,9216
"a'",69,0,9216,9408
"a'",69,0,9408,9600
"a'",69,0,9600,9792
"b'",71,0,9792,9984
"a'",69,0,9984,10176
"fis'",66,0,10176,10368
"fis'",66,0,10368,10560
"e'",64,0,10560,10752
"d'",62,0,10752,11136
"d'",62,0,11136,11520
"d'",62,0,11520,11904
"a'",69,0,12288,12672
"a'",69,0,12672,12864
"b'",71,0,12864,13056
"a'",69,0,13056,13440
"fis'",66,0,13440,13824
"b'",71,0,13824,14208
"b'",71,0,14208,14400
"b'",71,0,14400,14592
"b'",71,0,14592,14976
"a'",69,0,14976,15360
"a'",69,0,15360,15744
"a'",69,0,15744,15936
"b'",71,0,15936,16128
"a'",69,0,16128,16512
"fis'",66,0,16512,16896
"e'",64,0,16896,17088
"e'",64,0,17088,17280
"e'",64,0,17280,17472
"fis'",66,0,17472,17664
"e'",64,0,17664,18432
"a'",69,0,18432,18816
"a'",69,0,18816,19008
"b'",71,0,19008,19200
"a'",69,0,19200,19584
"fis'",66,0,19584,19968
"b'",71,0,19968,20160
"b'",71,0,20160,20352
"b'",71,0,20352,20544
"b'",71,0,20544,20736
"d''",74,0,20736,21504
"a'",69,0,21504,21696
"a'",69,0,21696,21888
"a'",69,0,21888,22080
"b'",71,0,22080,22272
"a'",69,0,22272,22464
"fis'",66,0,22464,22656
"fis'",66,0,22656,22848
"e'",64,0,22848,23040
"d'",62,0,23040,23424
"d'",62,0,23424,23808
"d'",62,0,23808,24192
