"snippet","data_ref","x","y","bar","bar_moment"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM095_BintangDiTimur/GPM095_BintangDiTimur_ly_data.ily:47:2:3",10.536,15.289,1.0,"0"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM095_BintangDiTimur/GPM095_BintangDiTimur_ly_data.ily:47:6:7",15.245,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM095_BintangDiTimur/GPM095_BintangDiTimur_ly_data.ily:47:10:11",19.383,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM095_BintangDiTimur/GPM095_BintangDiTimur_ly_data.ily:47:16:17",23.573,15.289,2.0,"1/2"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM095_BintangDiTimur/GPM095_BintangDiTimur_ly_data.ily:47:20:21",27.31,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM095_BintangDiTimur/GPM095_BintangDiTimur_ly_data.ily:47:28:29",32.7,15.289,3.0,"1"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM095_BintangDiTimur/GPM095_BintangDiTimur_ly_data.ily:47:32:33",36.329,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM095_BintangDiTimur/GPM095_BintangDiTimur_ly_data.ily:47:36:37",40.424,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM095_BintangDiTimur/GPM095_BintangDiTimur_ly_data.ily:47:42:43",44.615,15.289,4.0,"3/2"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM095_BintangDiTimur/GPM095_BintangDiTimur_ly_data.ily:47:46:47",48.47,15.289,"",""
