"pitch","midi","channel","on_tick","off_tick"
"fis'",66,0,0,384
"fis'",66,0,384,576
"g'",67,0,576,768
"a'",69,0,768,1344
"fis'",66,0,1344,1536
"a'",69,0,1536,1920
"g'",67,0,1920,2112
"fis'",66,0,2112,2304
"e'",64,0,2304,3072
"e'",64,0,3072,3264
"e'",64,0,3264,3456
"e'",64,0,3456,3648
"fis'",66,0,3648,3840
"g'",67,0,3840,4224
"g'",67,0,4224,4416
"b'",71,0,4416,4608
"a'",69,0,4608,4992
"g'",67,0,4992,5376
"fis'",66,0,5376,6144
"fis'",66,0,6144,6528
"fis'",66,0,6528,6720
"g'",67,0,6720,6912
"a'",69,0,6912,7488
"fis'",66,0,7488,7680
"a'",69,0,7680,8064
"g'",67,0,8064,8256
"fis'",66,0,8256,8448
"e'",64,0,8448,9216
"e'",64,0,9216,9408
"e'",64,0,9408,9600
"e'",64,0,9600,9792
"fis'",66,0,9792,9984
"g'",67,0,9984,10368
"a'",69,0,10368,10560
"g'",67,0,10560,10752
"fis'",66,0,10752,11136
"e'",64,0,11136,11520
"d'",62,0,11520,12288
"b'",71,0,12288,12480
"b'",71,0,12480,12672
"b'",71,0,12672,12864
"b'",71,0,12864,13056
"b'",71,0,13056,13440
"b'",71,0,13440,13824
"a'",69,0,13824,14016
"a'",69,0,14016,14208
"a'",69,0,14208,14400
"a'",69,0,14400,14592
"a'",69,0,14592,14976
"a'",69,0,14976,15360
"g'",67,0,15360,15744
"g'",67,0,15744,16128
"fis'",66,0,16128,16512
"g'",67,0,16512,16896
"a'",69,0,16896,18048
"b'",71,0,18432,18624
"b'",71,0,18624,18816
"b'",71,0,18816,19008
"b'",71,0,19008,19200
"b'",71,0,19200,19584
"b'",71,0,19584,19968
"a'",69,0,19968,20160
"a'",69,0,20160,20352
"a'",69,0,20352,20544
"a'",69,0,20544,20736
"a'",69,0,20736,21120
"a'",69,0,21120,21504
"g'",67,0,21504,21888
"g'",67,0,21888,22272
"fis'",66,0,22272,22656
"e'",64,0,22656,23040
"d'",62,0,23040,24192
