"snippet","data_ref","x","y","bar","bar_moment"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:51:4:5",10.536,15.289,1.0,"0"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:51:10:11",14.165,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:51:16:17",17.483,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:51:20:21",19.912,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:51:25:26",25.462,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:51:33:34",29.652,15.289,2.0,"1"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:51:37:38",33.282,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:51:41:42",36.822,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:51:47:48",39.251,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:52:4:5",47.92,15.289,3.0,"2"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:52:8:9",51.281,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:52:12:13",54.923,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:52:16:17",58.471,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:52:22:23",62.131,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:52:26:27",65.76,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:52:30:31",69.01,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:52:36:37",73.201,15.289,4.0,"3"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:52:40:41",76.83,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM098_LilinKecil/GPM098_LilinKecil_ly_data.ily:52:44:45",80.46,15.289,"",""
