"pitch","midi","channel","on_tick","off_tick"
"g'",67,0,192,384
"g'",67,0,384,576
"e'",64,0,576,768
"g'",67,0,768,960
"c''",72,0,960,1152
"a'",69,0,1152,1536
"a'",69,0,1536,1728
"f'",65,0,1728,1920
"f'",65,0,1920,2112
"d'",62,0,2112,2304
"a'",69,0,2304,2496
"g'",67,0,2496,2688
"g'",67,0,2688,3072
"g'",67,0,3072,3456
"g'",67,0,3456,3840
"e'",64,0,4032,4224
"e'",64,0,4224,4416
"c'",60,0,4416,4608
"f'",65,0,4608,4800
"e'",64,0,4800,4992
"e'",64,0,4992,5376
"c'",60,0,5376,5568
"c'",60,0,5568,5760
"c'",60,0,5760,5952
"a",57,0,5952,6144
"b",59,0,6144,6336
"c'",60,0,6336,6528
"d'",62,0,6528,6912
"d'",62,0,6912,7296
"d'",62,0,7296,7680
"g'",67,0,7872,8064
"g'",67,0,8064,8256
"e'",64,0,8256,8448
"g'",67,0,8448,8640
"c''",72,0,8640,8832
"a'",69,0,8832,9216
"a'",69,0,9216,9408
"f'",65,0,9408,9600
"f'",65,0,9600,9792
"d'",62,0,9792,9984
"a'",69,0,9984,10176
"g'",67,0,10176,10368
"g'",67,0,10368,10752
"g'",67,0,10752,11136
"g'",67,0,11136,11520
"e'",64,0,11712,11904
"e'",64,0,11904,12096
"c'",60,0,12096,12288
"f'",65,0,12288,12480
"e'",64,0,12480,12672
"e'",64,0,12672,12864
"a'",69,0,12864,13056
"a'",69,0,13056,13440
"a'",69,0,13440,13824
"a'",69,0,14016,14208
"a'",69,0,14208,14400
"c''",72,0,14400,14592
"c''",72,0,14592,14784
"b'",71,0,14784,14976
"c''",72,0,14976,15360
"c''",72,0,15360,15744
"c''",72,0,15744,16128
"g'",67,0,16320,16512
"g'",67,0,16512,16704
"e'",64,0,16704,16896
"g'",67,0,16896,17088
"c''",72,0,17088,17280
"a'",69,0,17280,17664
"a'",69,0,17664,17856
"f'",65,0,17856,18048
"f'",65,0,18048,18240
"d'",62,0,18240,18432
"a'",69,0,18432,18624
"g'",67,0,18624,18816
"g'",67,0,18816,19200
"g'",67,0,19200,19584
"g'",67,0,19584,19968
"e'",64,0,20160,20352
"e'",64,0,20352,20544
"c'",60,0,20544,20736
"f'",65,0,20736,20928
"e'",64,0,20928,21120
"e'",64,0,21120,21504
"c'",60,0,21504,21696
"c'",60,0,21696,21888
"c'",60,0,21888,22080
"a",57,0,22080,22272
"b",59,0,22272,22464
"c'",60,0,22464,22656
"d'",62,0,22656,23040
"d'",62,0,23040,23424
"d'",62,0,23424,23808
"g'",67,0,24000,24192
"g'",67,0,24192,24384
"e'",64,0,24384,24576
"g'",67,0,24576,24768
"c''",72,0,24768,24960
"a'",69,0,24960,25344
"a'",69,0,25344,25536
"f'",65,0,25536,25728
"f'",65,0,25728,25920
"d'",62,0,25920,26112
"a'",69,0,26112,26304
"g'",67,0,26304,26496
"g'",67,0,26496,26880
"g'",67,0,26880,27264
"g'",67,0,27264,27648
"e'",64,0,27840,28032
"e'",64,0,28032,28224
"c'",60,0,28224,28416
"f'",65,0,28416,28608
"e'",64,0,28608,28800
"e'",64,0,28800,28992
"a'",69,0,28992,29184
"a'",69,0,29184,29568
"a'",69,0,29568,29952
"a'",69,0,30144,30336
"a'",69,0,30336,30528
"c''",72,0,30528,30720
"c''",72,0,30720,30912
"b'",71,0,30912,31104
"c''",72,0,31104,31488
"c''",72,0,31488,31872
"c''",72,0,31872,32256
