"pitch","midi","channel","on_tick","off_tick"
"gis'",68,0,0,384
"gis'",68,0,384,768
"gis'",68,0,768,1152
"a'",69,0,1152,1344
"fis'",66,0,1344,1536
"e'",64,0,1536,1920
"e'",64,0,1920,2496
"e'",64,0,2496,2688
"dis'",63,0,2688,2880
"e'",64,0,2880,3072
"fis'",66,0,3072,3456
"fis'",66,0,3456,4032
"fis'",66,0,4032,4224
"e'",64,0,4224,4416
"fis'",66,0,4416,4608
"gis'",68,0,4608,4992
"b'",71,0,4992,5760
"gis'",68,0,6144,6528
"gis'",68,0,6528,6912
"gis'",68,0,6912,7296
"a'",69,0,7296,7488
"fis'",66,0,7488,7680
"e'",64,0,7680,8064
"e'",64,0,8064,8640
"gis'",68,0,8640,8832
"fis'",66,0,8832,9024
"gis'",68,0,9024,9216
"a'",69,0,9216,9792
"fis'",66,0,9792,9984
"e'",64,0,9984,10368
"dis'",63,0,10368,10752
"e'",64,0,10752,11520
"b'",71,0,11904,12288
"cis''",73,0,12288,12480
"b'",71,0,12480,13248
"gis'",68,0,13248,13440
"fis'",66,0,13440,13632
"e'",64,0,13632,13824
"a'",69,0,13824,14208
"cis''",73,0,14208,14592
"b'",71,0,14592,14976
"b'",71,0,15168,15360
"cis''",73,0,15360,15552
"b'",71,0,15552,16320
"gis'",68,0,16320,16512
"fis'",66,0,16512,16704
"e'",64,0,16704,16896
"fis'",66,0,16896,17280
"gis'",68,0,17280,17664
"fis'",66,0,17664,18048
"b'",71,0,18240,18432
"cis''",73,0,18432,18624
"b'",71,0,18624,19392
"gis'",68,0,19392,19584
"fis'",66,0,19584,19776
"e'",64,0,19776,19968
"a'",69,0,19968,20352
"a'",69,0,20352,20736
"a'",69,0,20736,21120
"b'",71,0,21312,21504
"cis''",73,0,21504,21696
"b'",71,0,21696,22080
"gis'",68,0,22080,22272
"fis'",66,0,22272,22464
"b'",71,0,22464,22848
"gis'",68,0,22848,22944
"fis'",66,0,22944,23040
"e'",64,0,23040,24192
"gis'",68,0,24576,24960
"gis'",68,0,24960,25344
"gis'",68,0,25344,25728
"a'",69,0,25728,25920
"fis'",66,0,25920,26112
"e'",64,0,26112,26496
"e'",64,0,26496,27072
"e'",64,0,27072,27264
"dis'",63,0,27264,27456
"e'",64,0,27456,27648
"fis'",66,0,27648,28032
"fis'",66,0,28032,28608
"fis'",66,0,28608,28800
"e'",64,0,28800,28992
"fis'",66,0,28992,29184
"gis'",68,0,29184,29568
"b'",71,0,29568,30336
"gis'",68,0,30720,31104
"gis'",68,0,31104,31488
"gis'",68,0,31488,31872
"a'",69,0,31872,32064
"fis'",66,0,32064,32256
"e'",64,0,32256,32640
"e'",64,0,32640,33216
"gis'",68,0,33216,33408
"fis'",66,0,33408,33600
"gis'",68,0,33600,33792
"a'",69,0,33792,34368
"fis'",66,0,34368,34560
"e'",64,0,34560,34944
"dis'",63,0,34944,35328
"e'",64,0,35328,36096
"b'",71,0,36480,36864
"cis''",73,0,36864,37056
"b'",71,0,37056,37824
"gis'",68,0,37824,38016
"fis'",66,0,38016,38208
"e'",64,0,38208,38400
"a'",69,0,38400,38784
"cis''",73,0,38784,39168
"b'",71,0,39168,39552
"b'",71,0,39744,39936
"cis''",73,0,39936,40128
"b'",71,0,40128,40896
"gis'",68,0,40896,41088
"fis'",66,0,41088,41280
"e'",64,0,41280,41472
"fis'",66,0,41472,41856
"gis'",68,0,41856,42240
"fis'",66,0,42240,42624
"b'",71,0,42816,43008
"cis''",73,0,43008,43200
"b'",71,0,43200,43968
"gis'",68,0,43968,44160
"fis'",66,0,44160,44352
"e'",64,0,44352,44544
"a'",69,0,44544,44928
"a'",69,0,44928,45312
"a'",69,0,45312,45696
"b'",71,0,45888,46080
"cis''",73,0,46080,46272
"b'",71,0,46272,46656
"gis'",68,0,46656,46848
"fis'",66,0,46848,47040
"b'",71,0,47040,47424
"gis'",68,0,47424,47520
"fis'",66,0,47520,47616
"e'",64,0,47616,48768
