"pitch","midi","channel","on_tick","off_tick"
"g'",67,0,192,384
"g'",67,0,384,960
"g'",67,0,960,1152
"g'",67,0,1152,1728
"c''",72,0,1728,1920
"a'",69,0,1920,2112
"f'",65,0,2112,2304
"g'",67,0,2304,2496
"a'",69,0,2496,2688
"a'",69,0,2688,2880
"g'",67,0,2880,3072
"e'",64,0,3264,3456
"g'",67,0,3456,3648
"g'",67,0,3648,3840
"g'",67,0,4224,4416
"g'",67,0,4416,4800
"g'",67,0,4800,4992
"f'",65,0,4992,5184
"f'",65,0,5184,5376
"f'",65,0,5376,5568
"f'",65,0,5568,5760
"g'",67,0,5760,6528
"f'",65,0,6528,6720
"f'",65,0,6720,6912
"f'",65,0,6912,7104
"f'",65,0,7104,7296
"a'",69,0,7296,7488
"a'",69,0,7488,7680
"a'",69,0,7680,8064
"e'",64,0,8064,8256
"e'",64,0,8256,8448
"e'",64,0,8448,8640
"e'",64,0,8640,8832
"g'",67,0,8832,9024
"g'",67,0,9024,9216
"g'",67,0,9216,9600
"g'",67,0,9600,9984
"a'",69,0,9984,10176
"a'",69,0,10176,10368
"e'",64,0,10368,10752
"d'",62,0,10752,11136
"c'",60,0,11136,11520
"g'",67,0,12096,12288
"g'",67,0,12288,12864
"g'",67,0,12864,13056
"g'",67,0,13056,13632
"c''",72,0,13632,13824
"a'",69,0,13824,14016
"f'",65,0,14016,14208
"g'",67,0,14208,14400
"a'",69,0,14400,14592
"a'",69,0,14592,14784
"g'",67,0,14784,14976
"e'",64,0,15168,15360
"g'",67,0,15360,15552
"g'",67,0,15552,15744
"g'",67,0,16128,16320
"g'",67,0,16320,16704
"g'",67,0,16704,16896
"f'",65,0,16896,17088
"f'",65,0,17088,17280
"f'",65,0,17280,17472
"f'",65,0,17472,17664
"g'",67,0,17664,18432
"f'",65,0,18432,18624
"f'",65,0,18624,18816
"f'",65,0,18816,19008
"f'",65,0,19008,19200
"a'",69,0,19200,19392
"a'",69,0,19392,19584
"a'",69,0,19584,19968
"e'",64,0,19968,20160
"e'",64,0,20160,20352
"e'",64,0,20352,20544
"e'",64,0,20544,20736
"g'",67,0,20736,20928
"g'",67,0,20928,21120
"g'",67,0,21120,21504
"g'",67,0,21504,21888
"a'",69,0,21888,22080
"a'",69,0,22080,22272
"e'",64,0,22272,22656
"d'",62,0,22656,23040
"c'",60,0,23040,23424
"g'",67,0,24000,24192
"g'",67,0,24192,24768
"g'",67,0,24768,24960
"g'",67,0,24960,25536
"c''",72,0,25536,25728
"a'",69,0,25728,25920
"f'",65,0,25920,26112
"g'",67,0,26112,26304
"a'",69,0,26304,26496
"a'",69,0,26496,26688
"g'",67,0,26688,26880
"e'",64,0,27072,27264
"g'",67,0,27264,27456
"g'",67,0,27456,27648
"g'",67,0,28032,28224
"g'",67,0,28224,28608
"g'",67,0,28608,28800
"f'",65,0,28800,28992
"f'",65,0,28992,29184
"f'",65,0,29184,29376
"f'",65,0,29376,29568
"g'",67,0,29568,30336
"f'",65,0,30336,30528
"f'",65,0,30528,30720
"f'",65,0,30720,30912
"f'",65,0,30912,31104
"a'",69,0,31104,31296
"a'",69,0,31296,31488
"a'",69,0,31488,31872
"e'",64,0,31872,32064
"e'",64,0,32064,32256
"e'",64,0,32256,32448
"e'",64,0,32448,32640
"g'",67,0,32640,32832
"g'",67,0,32832,33024
"g'",67,0,33024,33408
"g'",67,0,33408,33792
"a'",69,0,33792,33984
"a'",69,0,33984,34176
"e'",64,0,34176,34560
"d'",62,0,34560,34944
"c'",60,0,34944,35328
