"snippet","data_ref","x","y","bar","bar_moment"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:48:18:19",12.736,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:48:24:25",16.926,15.289,1.0,"1/4"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:48:29:30",22.993,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:48:35:36",27.184,15.289,2.0,"3/4"
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:48:40:41",33.25,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:48:47:48",37.441,15.289,3.0,"5/4"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:48:51:52",41.399,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:48:55:56",45.758,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:48:59:60",48.982,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:48:65:66",53.173,15.289,4.0,"7/4"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:48:69:70",57.063,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:49:7:8",62.43,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:49:13:14",66.755,15.289,5.0,"9/4"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:49:17:18",70.525,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:49:26:27",77.994,15.289,6.0,"11/4"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:49:30:31",80.424,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:49:34:35",86.507,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:49:40:41",90.698,15.289,7.0,"13/4"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:49:44:45",93.461,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:49:48:49",96.275,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:49:52:53",99.039,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:49:58:59",103.229,15.289,8.0,"15/4"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:4:5",111.74,15.289,9.0,"17/4"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:8:9",115.101,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:12:13",118.538,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:16:17",121.046,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:22:23",125.236,15.289,10.0,"19/4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:26:27",127.665,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:30:31",131.094,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:36:37",136.485,15.289,11.0,"21/4"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:40:41",138.914,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:44:45",142.958,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:48:49",147.351,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:54:55",151.542,15.289,12.0,"23/4"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:58:59",156.294,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:50:62:63",160.03,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:51:4:5",165.421,15.289,13.0,"25/4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:51:8:9",169.05,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:51:12:13",171.864,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:51:18:19",176.055,15.289,14.0,"27/4"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM146_Kudus/GPM146_Kudus_ly_data.ily:51:24:25",179.684,15.289,"",""
