"pitch","midi","channel","on_tick","off_tick"
"c'",60,0,0,384
"d'",62,0,384,576
"f'",65,0,576,768
"a'",69,0,768,960
"a'",69,0,960,1152
"g'",67,0,1152,1344
"a'",69,0,1344,1536
"g'",67,0,1536,1728
"f'",65,0,1728,1920
"f'",65,0,1920,2112
"d'",62,0,2112,2304
"f'",65,0,2304,2688
"d'",62,0,2688,2880
"d'",62,0,2880,3072
"d'",62,0,3072,3456
"d'",62,0,3456,3648
"f'",65,0,3648,3840
"g'",67,0,3840,4224
"f'",65,0,4224,4416
"g'",67,0,4416,4608
"a'",69,0,4608,4800
"g'",67,0,4800,4992
"f'",65,0,4992,5184
"g'",67,0,5184,5376
"a'",69,0,5376,6144
"d'",62,0,6336,6528
"d'",62,0,6528,6720
"f'",65,0,6720,6912
"g'",67,0,6912,7296
"f'",65,0,7296,7488
"g'",67,0,7488,7680
"a'",69,0,7680,7872
"g'",67,0,7872,8064
"f'",65,0,8064,8256
"d'",62,0,8256,8448
"d'",62,0,8448,9216
"c''",72,0,9216,9600
"c''",72,0,9600,9792
"c''",72,0,9792,9984
"d''",74,0,9984,10176
"c''",72,0,10176,10368
"c''",72,0,10368,10752
"a'",69,0,10752,10944
"a'",69,0,10944,11136
"a'",69,0,11136,11328
"a'",69,0,11328,11520
"g'",67,0,11520,11712
"f'",65,0,11712,11904
"f'",65,0,11904,12096
"d'",62,0,12096,12288
"f'",65,0,12288,12480
"d'",62,0,12480,12672
"d'",62,0,12672,13440
"d'",62,0,13440,13632
"f'",65,0,13632,13824
"a'",69,0,13824,14016
"g'",67,0,14016,14208
"f'",65,0,14208,14400
"f'",65,0,14400,14592
"d'",62,0,14592,14976
"d'",62,0,14976,15168
"f'",65,0,15168,15360
"g'",67,0,15360,16128
"d'",62,0,16512,16704
"f'",65,0,16704,16896
"g'",67,0,16896,17088
"g'",67,0,17088,17280
"g'",67,0,17280,17472
"f'",65,0,17472,17664
"d'",62,0,17664,18048
"d'",62,0,18048,18240
"f'",65,0,18240,18432
"g'",67,0,18432,19200
"c''",72,0,19392,19584
"c''",72,0,19584,19776
"c''",72,0,19776,19968
"d''",74,0,19968,20160
"c''",72,0,20160,20352
"c''",72,0,20352,20736
"a'",69,0,20736,20928
"g'",67,0,20928,21120
"a'",69,0,21120,21312
"c''",72,0,21312,21504
"a'",69,0,21504,22272
"d''",74,0,22272,22464
"d''",74,0,22464,22656
"d''",74,0,22656,22848
"d''",74,0,22848,23040
"d''",74,0,23040,23616
"d''",74,0,23616,23808
"c''",72,0,23808,24000
"a'",69,0,24000,24192
"a'",69,0,24192,24384
"c''",72,0,24384,24576
"c''",72,0,24576,25344
"d''",74,0,25536,25728
"d''",74,0,25728,25920
"d''",74,0,25920,26112
"d''",74,0,26112,26304
"d''",74,0,26304,27072
"c''",72,0,27072,27264
"a'",69,0,27264,27456
"c''",72,0,27456,27648
"d''",74,0,27648,27840
"d''",74,0,27840,28416
"a'",69,0,28608,28800
"g'",67,0,28800,28992
"a'",69,0,28992,29184
"c''",72,0,29184,29376
"a'",69,0,29376,29760
"a'",69,0,29760,29952
"g'",67,0,29952,30144
"f'",65,0,30144,30336
"d'",62,0,30336,30528
"d'",62,0,30528,30720
"d'",62,0,30720,31872
