"snippet","data_ref","x","y","tied_data_refs"
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:4:5",10.536,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:8:9",14.165,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:12:13",17.978,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:16:17",21.185,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:20:21",23.829,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:24:25",26.874,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:28:29",30.081,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:34:35",34.272,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:38:39",36.916,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:42:43",39.773,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:48:49",42.202,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:53:54",44.631,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:66:67",49.26,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:70:71",52.416,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:76:77",56.955,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:80:81",61.041,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:84:85",64.129,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:89:90",67.617,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:93:94",71.246,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:49:97:98",74.735,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM156_KamiPercaya/GPM156_KamiPercaya_ly_data.ily:50:4:5",78.926,15.289,""
