"pitch","midi","channel","on_tick","off_tick"
"e'",64,0,0,192
"e'",64,0,192,384
"e'",64,0,384,576
"gis'",68,0,576,768
"fis'",66,0,768,960
"e'",64,0,960,1152
"fis'",66,0,1152,1344
"gis'",68,0,1344,1536
"e'",64,0,1536,2304
"e'",64,0,2496,2688
"dis'",63,0,2688,2880
"e'",64,0,2880,3072
"fis'",66,0,3072,3456
"fis'",66,0,3456,4032
"fis'",66,0,4032,4224
"e'",64,0,4224,4416
"fis'",66,0,4416,4608
"gis'",68,0,4608,5376
"e'",64,0,5568,5760
"fis'",66,0,5760,5952
"e'",64,0,5952,6144
"cis'",61,0,6144,6336
"b",59,0,6336,6528
"cis'",61,0,6528,6720
"e'",64,0,6720,6912
"a'",69,0,6912,7488
"cis'",61,0,7488,7680
"b",59,0,7680,7872
"gis'",68,0,7872,8064
"gis'",68,0,8064,8256
"fis'",66,0,8256,8448
"e'",64,0,8448,8832
"gis'",68,0,8832,9024
"gis'",68,0,9024,9216
"gis'",68,0,9216,9600
"fis'",66,0,9600,9984
"gis'",68,0,9984,10176
"fis'",66,0,10176,10368
"e'",64,0,10368,10560
"fis'",66,0,10560,10752
"gis'",68,0,10752,11520
"e'",64,0,11712,11904
"fis'",66,0,11904,12096
"e'",64,0,12096,12288
"cis'",61,0,12288,12480
"cis'",61,0,12480,12864
"e'",64,0,12864,13056
"dis'",63,0,13056,13248
"e'",64,0,13248,13440
"fis'",66,0,13440,13632
"dis'",63,0,13632,13824
"e'",64,0,13824,14976
"e'",64,0,15360,15552
"e'",64,0,15552,15744
"e'",64,0,15744,15936
"gis'",68,0,15936,16128
"fis'",66,0,16128,16320
"e'",64,0,16320,16512
"fis'",66,0,16512,16704
"gis'",68,0,16704,16896
"e'",64,0,16896,17664
"e'",64,0,17856,18048
"dis'",63,0,18048,18240
"e'",64,0,18240,18432
"fis'",66,0,18432,18816
"fis'",66,0,18816,19392
"fis'",66,0,19392,19584
"e'",64,0,19584,19776
"fis'",66,0,19776,19968
"gis'",68,0,19968,20736
"e'",64,0,20928,21120
"fis'",66,0,21120,21312
"e'",64,0,21312,21504
"cis'",61,0,21504,21696
"b",59,0,21696,21888
"cis'",61,0,21888,22080
"e'",64,0,22080,22272
"a'",69,0,22272,22848
"cis'",61,0,22848,23040
"b",59,0,23040,23232
"gis'",68,0,23232,23424
"gis'",68,0,23424,23616
"fis'",66,0,23616,23808
"e'",64,0,23808,24192
"gis'",68,0,24192,24384
"gis'",68,0,24384,24576
"gis'",68,0,24576,24960
"fis'",66,0,24960,25344
"gis'",68,0,25344,25536
"fis'",66,0,25536,25728
"e'",64,0,25728,25920
"fis'",66,0,25920,26112
"gis'",68,0,26112,26880
"e'",64,0,27072,27264
"fis'",66,0,27264,27456
"e'",64,0,27456,27648
"cis'",61,0,27648,27840
"cis'",61,0,27840,28224
"e'",64,0,28224,28416
"dis'",63,0,28416,28608
"e'",64,0,28608,28800
"fis'",66,0,28800,28992
"dis'",63,0,28992,29184
"e'",64,0,29184,30336
"e'",64,0,30720,30912
"e'",64,0,30912,31104
"e'",64,0,31104,31296
"gis'",68,0,31296,31488
"fis'",66,0,31488,31680
"e'",64,0,31680,31872
"fis'",66,0,31872,32064
"gis'",68,0,32064,32256
"e'",64,0,32256,33024
"e'",64,0,33216,33408
"dis'",63,0,33408,33600
"e'",64,0,33600,33792
"fis'",66,0,33792,34176
"fis'",66,0,34176,34752
"fis'",66,0,34752,34944
"e'",64,0,34944,35136
"fis'",66,0,35136,35328
"gis'",68,0,35328,36096
"e'",64,0,36288,36480
"fis'",66,0,36480,36672
"e'",64,0,36672,36864
"cis'",61,0,36864,37056
"b",59,0,37056,37248
"cis'",61,0,37248,37440
"e'",64,0,37440,37632
"a'",69,0,37632,38208
"cis'",61,0,38208,38400
"b",59,0,38400,38592
"gis'",68,0,38592,38784
"gis'",68,0,38784,38976
"fis'",66,0,38976,39168
"e'",64,0,39168,39552
"gis'",68,0,39552,39744
"gis'",68,0,39744,39936
"gis'",68,0,39936,40320
"fis'",66,0,40320,40704
"gis'",68,0,40704,40896
"fis'",66,0,40896,41088
"e'",64,0,41088,41280
"fis'",66,0,41280,41472
"gis'",68,0,41472,42240
"e'",64,0,42432,42624
"fis'",66,0,42624,42816
"e'",64,0,42816,43008
"cis'",61,0,43008,43200
"cis'",61,0,43200,43584
"e'",64,0,43584,43776
"dis'",63,0,43776,43968
"e'",64,0,43968,44160
"fis'",66,0,44160,44352
"dis'",63,0,44352,44544
"e'",64,0,44544,45696
