"pitch","midi","channel","on_tick","off_tick"
"e''",76,0,0,192
"e''",76,0,192,384
"dis''",75,0,384,576
"cis''",73,0,576,768
"b'",71,0,768,1152
"b'",71,0,1152,1536
"cis''",73,0,1536,1728
"cis''",73,0,1728,1920
"b'",71,0,1920,2112
"a'",69,0,2112,2304
"gis'",68,0,2304,2688
"gis'",68,0,2880,3072
"gis'",68,0,3072,3264
"fis'",66,0,3264,3456
"gis'",68,0,3456,3648
"a'",69,0,3648,3840
"b'",71,0,3840,4032
"gis'",68,0,4032,4224
"a'",69,0,4224,4416
"b'",71,0,4416,4608
"cis''",73,0,4608,5376
"b'",71,0,5376,5760
"gis'",68,0,6144,6336
"gis'",68,0,6336,6528
"gis'",68,0,6528,6720
"fis'",66,0,6720,6912
"gis'",68,0,6912,7488
"a'",69,0,7488,7680
"b'",71,0,7680,7872
"b'",71,0,7872,8064
"b'",71,0,8064,8256
"cis''",73,0,8256,8448
"b'",71,0,8448,8832
"gis'",68,0,9024,9216
"gis'",68,0,9216,9408
"a'",69,0,9408,9600
"b'",71,0,9600,9792
"cis''",73,0,9792,9984
"b'",71,0,9984,10176
"gis'",68,0,10176,10368
"b'",71,0,10368,10560
"a'",69,0,10560,10752
"gis'",68,0,10752,11328
"fis'",66,0,11328,11520
"gis'",68,0,11520,11904
"e''",76,0,12288,12672
"b'",71,0,12672,13056
"e''",76,0,13056,13248
"dis''",75,0,13248,13440
"cis''",73,0,13440,13632
"b'",71,0,13632,13824
"cis''",73,0,13824,14016
"cis''",73,0,14016,14400
"b'",71,0,14400,14592
"cis''",73,0,14592,14976
"dis''",75,0,14976,15168
"e''",76,0,15168,15360
"fis''",78,0,15360,15744
"e''",76,0,15744,16128
"dis''",75,0,16128,16512
"cis''",73,0,16512,16704
"cis''",73,0,16704,16896
"b'",71,0,16896,17088
"b'",71,0,17088,17472
"cis''",73,0,17472,17664
"b'",71,0,17664,18048
"gis'",68,0,18432,19008
"fis'",66,0,19008,19200
"gis'",68,0,19200,19584
"a'",69,0,19584,19968
"b'",71,0,19968,20352
"cis''",73,0,20352,20736
"b'",71,0,20736,21504
"a'",69,0,21504,22272
"gis'",68,0,22272,22656
"fis'",66,0,22656,23040
"gis'",68,0,23040,24576
"e''",76,0,24576,24768
"e''",76,0,24768,24960
"dis''",75,0,24960,25152
"cis''",73,0,25152,25344
"b'",71,0,25344,25728
"b'",71,0,25728,26112
"cis''",73,0,26112,26304
"cis''",73,0,26304,26496
"b'",71,0,26496,26688
"a'",69,0,26688,26880
"gis'",68,0,26880,27264
"gis'",68,0,27456,27648
"gis'",68,0,27648,27840
"fis'",66,0,27840,28032
"gis'",68,0,28032,28224
"a'",69,0,28224,28416
"b'",71,0,28416,28608
"gis'",68,0,28608,28800
"a'",69,0,28800,28992
"b'",71,0,28992,29184
"cis''",73,0,29184,29952
"b'",71,0,29952,30336
"gis'",68,0,30720,30912
"gis'",68,0,30912,31104
"gis'",68,0,31104,31296
"fis'",66,0,31296,31488
"gis'",68,0,31488,32064
"a'",69,0,32064,32256
"b'",71,0,32256,32448
"b'",71,0,32448,32640
"b'",71,0,32640,32832
"cis''",73,0,32832,33024
"b'",71,0,33024,33408
"gis'",68,0,33600,33792
"gis'",68,0,33792,33984
"a'",69,0,33984,34176
"b'",71,0,34176,34368
"cis''",73,0,34368,34560
"b'",71,0,34560,34752
"gis'",68,0,34752,34944
"b'",71,0,34944,35136
"a'",69,0,35136,35328
"gis'",68,0,35328,35904
"fis'",66,0,35904,36096
"gis'",68,0,36096,36480
"e''",76,0,36864,37248
"b'",71,0,37248,37632
"e''",76,0,37632,37824
"dis''",75,0,37824,38016
"cis''",73,0,38016,38208
"b'",71,0,38208,38400
"cis''",73,0,38400,38592
"cis''",73,0,38592,38976
"b'",71,0,38976,39168
"cis''",73,0,39168,39552
"dis''",75,0,39552,39744
"e''",76,0,39744,39936
"fis''",78,0,39936,40320
"e''",76,0,40320,40704
"dis''",75,0,40704,41088
"cis''",73,0,41088,41280
"cis''",73,0,41280,41472
"b'",71,0,41472,41664
"b'",71,0,41664,42048
"cis''",73,0,42048,42240
"b'",71,0,42240,42624
"gis'",68,0,43008,43584
"fis'",66,0,43584,43776
"gis'",68,0,43776,44160
"a'",69,0,44160,44544
"b'",71,0,44544,44928
"cis''",73,0,44928,45312
"b'",71,0,45312,46080
"a'",69,0,46080,46848
"gis'",68,0,46848,47232
"fis'",66,0,47232,47616
"gis'",68,0,47616,49152
"e''",76,0,49152,49344
"e''",76,0,49344,49536
"dis''",75,0,49536,49728
"cis''",73,0,49728,49920
"b'",71,0,49920,50304
"b'",71,0,50304,50688
"cis''",73,0,50688,50880
"cis''",73,0,50880,51072
"b'",71,0,51072,51264
"a'",69,0,51264,51456
"gis'",68,0,51456,51840
"gis'",68,0,52032,52224
"gis'",68,0,52224,52416
"fis'",66,0,52416,52608
"gis'",68,0,52608,52800
"a'",69,0,52800,52992
"b'",71,0,52992,53184
"gis'",68,0,53184,53376
"a'",69,0,53376,53568
"b'",71,0,53568,53760
"cis''",73,0,53760,54528
"b'",71,0,54528,54912
"gis'",68,0,55296,55488
"gis'",68,0,55488,55680
"gis'",68,0,55680,55872
"fis'",66,0,55872,56064
"gis'",68,0,56064,56640
"a'",69,0,56640,56832
"b'",71,0,56832,57024
"b'",71,0,57024,57216
"b'",71,0,57216,57408
"cis''",73,0,57408,57600
"b'",71,0,57600,57984
"gis'",68,0,58176,58368
"gis'",68,0,58368,58560
"a'",69,0,58560,58752
"b'",71,0,58752,58944
"cis''",73,0,58944,59136
"b'",71,0,59136,59328
"gis'",68,0,59328,59520
"b'",71,0,59520,59712
"a'",69,0,59712,59904
"gis'",68,0,59904,60480
"fis'",66,0,60480,60672
"gis'",68,0,60672,61056
"e''",76,0,61440,61824
"b'",71,0,61824,62208
"e''",76,0,62208,62400
"dis''",75,0,62400,62592
"cis''",73,0,62592,62784
"b'",71,0,62784,62976
"cis''",73,0,62976,63168
"cis''",73,0,63168,63552
"b'",71,0,63552,63744
"cis''",73,0,63744,64128
"dis''",75,0,64128,64320
"e''",76,0,64320,64512
"fis''",78,0,64512,64896
"e''",76,0,64896,65280
"dis''",75,0,65280,65664
"cis''",73,0,65664,65856
"cis''",73,0,65856,66048
"b'",71,0,66048,66240
"b'",71,0,66240,66624
"cis''",73,0,66624,66816
"b'",71,0,66816,67200
"gis'",68,0,67584,68160
"fis'",66,0,68160,68352
"gis'",68,0,68352,68736
"a'",69,0,68736,69120
"b'",71,0,69120,69504
"cis''",73,0,69504,69888
"b'",71,0,69888,70656
"a'",69,0,70656,71424
"gis'",68,0,71424,71808
"fis'",66,0,71808,72192
"gis'",68,0,72192,73728
"e''",76,0,73728,73920
"e''",76,0,73920,74112
"dis''",75,0,74112,74304
"cis''",73,0,74304,74496
"b'",71,0,74496,74880
"b'",71,0,74880,75264
"cis''",73,0,75264,75456
"cis''",73,0,75456,75648
"b'",71,0,75648,75840
"a'",69,0,75840,76032
"gis'",68,0,76032,76416
"gis'",68,0,76608,76800
"gis'",68,0,76800,76992
"fis'",66,0,76992,77184
"gis'",68,0,77184,77376
"a'",69,0,77376,77568
"b'",71,0,77568,77760
"gis'",68,0,77760,77952
"a'",69,0,77952,78144
"b'",71,0,78144,78336
"cis''",73,0,78336,79104
"b'",71,0,79104,79488
"gis'",68,0,79872,80064
"gis'",68,0,80064,80256
"gis'",68,0,80256,80448
"fis'",66,0,80448,80640
"gis'",68,0,80640,81216
"a'",69,0,81216,81408
"b'",71,0,81408,81600
"b'",71,0,81600,81792
"b'",71,0,81792,81984
"cis''",73,0,81984,82176
"b'",71,0,82176,82560
"gis'",68,0,82752,82944
"gis'",68,0,82944,83136
"a'",69,0,83136,83328
"b'",71,0,83328,83520
"cis''",73,0,83520,83712
"b'",71,0,83712,83904
"gis'",68,0,83904,84096
"b'",71,0,84096,84288
"a'",69,0,84288,84480
"gis'",68,0,84480,85056
"fis'",66,0,85056,85248
"gis'",68,0,85248,85632
"e''",76,0,86016,86400
"b'",71,0,86400,86784
"e''",76,0,86784,86976
"dis''",75,0,86976,87168
"cis''",73,0,87168,87360
"b'",71,0,87360,87552
"cis''",73,0,87552,87744
"cis''",73,0,87744,88128
"b'",71,0,88128,88320
"cis''",73,0,88320,88704
"dis''",75,0,88704,88896
"e''",76,0,88896,89088
"fis''",78,0,89088,89472
"e''",76,0,89472,89856
"dis''",75,0,89856,90240
"cis''",73,0,90240,90432
"cis''",73,0,90432,90624
"b'",71,0,90624,90816
"b'",71,0,90816,91200
"cis''",73,0,91200,91392
"b'",71,0,91392,91776
"gis'",68,0,92160,92736
"fis'",66,0,92736,92928
"gis'",68,0,92928,93312
"a'",69,0,93312,93696
"b'",71,0,93696,94080
"cis''",73,0,94080,94464
"b'",71,0,94464,95232
"a'",69,0,95232,96000
"gis'",68,0,96000,96384
"fis'",66,0,96384,96768
