"pitch","midi","channel","on_tick","off_tick"
"fis'",66,0,0,192
"fis'",66,0,192,576
"d'",62,0,576,768
"cis'",61,0,768,960
"d'",62,0,960,1152
"e'",64,0,1152,1344
"fis'",66,0,1344,1536
"d'",62,0,1536,2688
"a'",69,0,3072,3264
"a'",69,0,3264,3648
"fis'",66,0,3648,3840
"e'",64,0,3840,4032
"fis'",66,0,4032,4224
"g'",67,0,4224,4416
"a'",69,0,4416,4608
"fis'",66,0,4608,5760
"b'",71,0,6144,6336
"b'",71,0,6336,6720
"b'",71,0,6720,6912
"a'",69,0,6912,7104
"a'",69,0,7104,7296
"a'",69,0,7296,7488
"g'",67,0,7488,7680
"fis'",66,0,7680,7872
"fis'",66,0,7872,8064
"g'",67,0,8064,8256
"a'",69,0,8256,8448
"g'",67,0,8448,8832
"fis'",66,0,9216,9408
"fis'",66,0,9408,9792
"d'",62,0,9792,9984
"cis'",61,0,9984,10176
"d'",62,0,10176,10368
"e'",64,0,10368,10560
"cis'",61,0,10560,10752
"d'",62,0,10752,11904
"fis'",66,0,12288,12480
"fis'",66,0,12480,12864
"d'",62,0,12864,13056
"cis'",61,0,13056,13248
"d'",62,0,13248,13440
"e'",64,0,13440,13632
"fis'",66,0,13632,13824
"d'",62,0,13824,14976
"a'",69,0,15360,15552
"a'",69,0,15552,15936
"fis'",66,0,15936,16128
"e'",64,0,16128,16320
"fis'",66,0,16320,16512
"g'",67,0,16512,16704
"a'",69,0,16704,16896
"fis'",66,0,16896,18048
"b'",71,0,18432,18624
"b'",71,0,18624,19008
"b'",71,0,19008,19200
"a'",69,0,19200,19392
"a'",69,0,19392,19584
"a'",69,0,19584,19776
"g'",67,0,19776,19968
"fis'",66,0,19968,20160
"fis'",66,0,20160,20352
"g'",67,0,20352,20544
"a'",69,0,20544,20736
"g'",67,0,20736,21120
"fis'",66,0,21504,21696
"fis'",66,0,21696,22080
"d'",62,0,22080,22272
"cis'",61,0,22272,22464
"d'",62,0,22464,22656
"e'",64,0,22656,22848
"cis'",61,0,22848,23040
"d'",62,0,23040,24192
"fis'",66,0,24576,24768
"fis'",66,0,24768,25152
"d'",62,0,25152,25344
"cis'",61,0,25344,25536
"d'",62,0,25536,25728
"e'",64,0,25728,25920
"fis'",66,0,25920,26112
"d'",62,0,26112,27264
"a'",69,0,27648,27840
"a'",69,0,27840,28224
"fis'",66,0,28224,28416
"e'",64,0,28416,28608
"fis'",66,0,28608,28800
"g'",67,0,28800,28992
"a'",69,0,28992,29184
"fis'",66,0,29184,30336
"b'",71,0,30720,30912
"b'",71,0,30912,31296
"b'",71,0,31296,31488
"a'",69,0,31488,31680
"a'",69,0,31680,31872
"a'",69,0,31872,32064
"g'",67,0,32064,32256
"fis'",66,0,32256,32448
"fis'",66,0,32448,32640
"g'",67,0,32640,32832
"a'",69,0,32832,33024
"g'",67,0,33024,33408
"fis'",66,0,33792,33984
"fis'",66,0,33984,34368
"d'",62,0,34368,34560
"cis'",61,0,34560,34752
"d'",62,0,34752,34944
"e'",64,0,34944,35136
"cis'",61,0,35136,35328
"d'",62,0,35328,36480
