"snippet","data_ref","x","y","tied_data_refs"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM161_YesusJuruSelamatKu/GPM161_YesusJuruSelamatKu_ly_data.ily:47:2:3",10.536,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM161_YesusJuruSelamatKu/GPM161_YesusJuruSelamatKu_ly_data.ily:47:8:9",12.965,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM161_YesusJuruSelamatKu/GPM161_YesusJuruSelamatKu_ly_data.ily:47:14:15",17.666,15.289,""
"cis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM161_YesusJuruSelamatKu/GPM161_YesusJuruSelamatKu_ly_data.ily:47:18:19",20.19,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM161_YesusJuruSelamatKu/GPM161_YesusJuruSelamatKu_ly_data.ily:47:24:25",23.132,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM161_YesusJuruSelamatKu/GPM161_YesusJuruSelamatKu_ly_data.ily:47:28:29",25.562,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM161_YesusJuruSelamatKu/GPM161_YesusJuruSelamatKu_ly_data.ily:47:32:33",28.956,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM161_YesusJuruSelamatKu/GPM161_YesusJuruSelamatKu_ly_data.ily:47:40:41",33.148,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM161_YesusJuruSelamatKu/GPM161_YesusJuruSelamatKu_ly_data.ily:48:2:3",48.058,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM161_YesusJuruSelamatKu/GPM161_YesusJuruSelamatKu_ly_data.ily:48:6:7",50.487,15.289,""
