"pitch","midi","channel","on_tick","off_tick"
"d'",62,0,0,192
"d'",62,0,192,384
"d'",62,0,384,576
"e'",64,0,576,768
"f'",65,0,768,960
"e'",64,0,960,1152
"d'",62,0,1152,1536
"a'",69,0,1536,1920
"a'",69,0,1920,2304
"a'",69,0,2496,2688
"a'",69,0,2688,2880
"a'",69,0,2880,3072
"ais'",70,0,3072,3456
"ais'",70,0,3456,3840
"g'",67,0,4032,4224
"g'",67,0,4224,4416
"g'",67,0,4416,4608
"a'",69,0,4608,4992
"a'",69,0,4992,5760
"f'",65,0,5760,5952
"f'",65,0,5952,6144
"g'",67,0,6144,6336
"g'",67,0,6336,6528
"g'",67,0,6720,6912
"f'",65,0,6912,7104
"f'",65,0,7104,7296
"e'",64,0,7296,7488
"e'",64,0,7488,7680
"d'",62,0,7680,8448
"a'",69,0,8832,9024
"a'",69,0,9024,9216
"ais'",70,0,9216,9408
"ais'",70,0,9408,9984
"a'",69,0,9984,10368
"a'",69,0,10368,10560
"a'",69,0,10560,10752
"g'",67,0,10752,11136
"g'",67,0,11136,11904
"f'",65,0,12288,12672
"f'",65,0,12672,13056
"g'",67,0,13056,13248
"g'",67,0,13248,13440
"f'",65,0,13440,13632
"f'",65,0,13632,13824
"d'",62,0,13824,14976
"ais'",70,0,15360,16128
"a'",69,0,16128,16512
"g'",67,0,16512,16896
"a'",69,0,16896,17088
"a'",69,0,17088,17472
"g'",67,0,17472,17664
"f'",65,0,17664,18048
"e'",64,0,18048,18240
"g'",67,0,18432,19200
"g'",67,0,19200,19584
"a'",69,0,19584,19776
"f'",65,0,19776,19968
"g'",67,0,19968,20736
"f'",65,0,20736,20928
"f'",65,0,20928,21120
"e'",64,0,21120,21312
"e'",64,0,21312,21504
"d'",62,0,21504,22656
"d'",62,0,23040,23232
"d'",62,0,23232,23424
"d'",62,0,23424,23616
"e'",64,0,23616,23808
"f'",65,0,23808,24000
"e'",64,0,24000,24192
"d'",62,0,24192,24576
"a'",69,0,24576,24960
"a'",69,0,24960,25344
"a'",69,0,25536,25728
"a'",69,0,25728,25920
"a'",69,0,25920,26112
"ais'",70,0,26112,26496
"ais'",70,0,26496,26880
"g'",67,0,27072,27264
"g'",67,0,27264,27456
"g'",67,0,27456,27648
"a'",69,0,27648,28032
"a'",69,0,28032,28800
"f'",65,0,28800,28992
"f'",65,0,28992,29184
"g'",67,0,29184,29376
"g'",67,0,29376,29568
"g'",67,0,29760,29952
"f'",65,0,29952,30144
"f'",65,0,30144,30336
"e'",64,0,30336,30528
"e'",64,0,30528,30720
"d'",62,0,30720,31488
"a'",69,0,31872,32064
"a'",69,0,32064,32256
"ais'",70,0,32256,32448
"ais'",70,0,32448,33024
"a'",69,0,33024,33408
"a'",69,0,33408,33600
"a'",69,0,33600,33792
"g'",67,0,33792,34176
"g'",67,0,34176,34944
"f'",65,0,35328,35712
"f'",65,0,35712,36096
"g'",67,0,36096,36288
"g'",67,0,36288,36480
"f'",65,0,36480,36672
"f'",65,0,36672,36864
"d'",62,0,36864,38016
"ais'",70,0,38400,39168
"a'",69,0,39168,39552
"g'",67,0,39552,39936
"a'",69,0,39936,40128
"a'",69,0,40128,40512
"g'",67,0,40512,40704
"f'",65,0,40704,41088
"e'",64,0,41088,41280
"g'",67,0,41472,42240
"g'",67,0,42240,42624
"a'",69,0,42624,42816
"f'",65,0,42816,43008
"g'",67,0,43008,43776
"f'",65,0,43776,43968
"f'",65,0,43968,44160
"e'",64,0,44160,44352
"e'",64,0,44352,44544
"d'",62,0,44544,45696
