"snippet","data_ref","x","y","tied_data_refs"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:54:2:3",10.536,15.732,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:54:6:7",13.896,15.732,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:54:10:11",18.717,15.732,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:54:14:15",23.102,15.732,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:54:18:19",26.027,15.732,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:54:22:23",28.456,15.732,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:54:26:27",31.766,15.732,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:54:32:33",37.156,15.732,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:54:36:37",41.388,15.732,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:54:43:44",47.217,15.732,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:54:47:48",52.199,15.732,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:54:51:52",56.943,15.732,""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:55:2:3",61.134,15.732,""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:55:8:9",64.763,15.732,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:55:17:18",70.592,15.732,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:55:21:22",73.021,15.732,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:55:25:26",76.382,15.732,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:55:31:32",82.004,15.732,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:55:35:36",85.634,15.732,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:55:48:49",93.383,15.732,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:55:52:53",95.812,15.732,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:56:2:3",100.003,15.732,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM162_YesusKristusAdalahTuhan/GPM162_YesusKristusAdalahTuhan_ly_data.ily:56:6:7",103.125,15.732,""
