"pitch","midi","channel","on_tick","off_tick"
"a",57,0,0,192
"a",57,0,192,384
"d'",62,0,384,576
"d'",62,0,576,768
"d'",62,0,768,960
"e'",64,0,960,1152
"fis'",66,0,1152,1344
"fis'",66,0,1344,1536
"fis'",66,0,1536,1728
"g'",67,0,1728,1920
"a'",69,0,1920,2304
"b'",71,0,2304,2688
"a'",69,0,2688,2880
"fis'",66,0,2880,3072
"d''",74,0,3456,3840
"b'",71,0,3840,4032
"a'",69,0,4032,4224
"b'",71,0,4224,4416
"a'",69,0,4416,4800
"a'",69,0,4800,4992
"a'",69,0,4992,5184
"e'",64,0,5184,5376
"fis'",66,0,5376,5568
"g'",67,0,5568,5760
"g'",67,0,5760,5952
"fis'",66,0,5952,6528
"a",57,0,6912,7104
"a",57,0,7104,7296
"d'",62,0,7296,7488
"d'",62,0,7488,7680
"d'",62,0,7680,7872
"e'",64,0,7872,8064
"fis'",66,0,8064,8256
"fis'",66,0,8256,8448
"fis'",66,0,8448,8640
"g'",67,0,8640,8832
"a'",69,0,8832,9216
"b'",71,0,9216,9600
"a'",69,0,9600,9792
"fis'",66,0,9792,9984
"d''",74,0,10368,10752
"b'",71,0,10752,10944
"a'",69,0,10944,11136
"a'",69,0,11136,11328
"b'",71,0,11328,11520
"a'",69,0,11904,12288
"b'",71,0,12288,12480
"a'",69,0,12480,12672
"a'",69,0,12672,12864
"fis'",66,0,12864,13056
"fis'",66,0,13440,13632
"fis'",66,0,13632,13824
"a'",69,0,13824,14016
"fis'",66,0,14016,14208
"e'",64,0,14208,14400
"d'",62,0,14400,14592
"e'",64,0,14592,14784
"d'",62,0,14784,14976
"d'",62,0,14976,15744
"a",57,0,16128,16320
"a",57,0,16320,16512
"d'",62,0,16512,16704
"d'",62,0,16704,16896
"d'",62,0,16896,17088
"e'",64,0,17088,17280
"fis'",66,0,17280,17472
"fis'",66,0,17472,17664
"fis'",66,0,17664,17856
"g'",67,0,17856,18048
"a'",69,0,18048,18432
"b'",71,0,18432,18816
"a'",69,0,18816,19008
"fis'",66,0,19008,19200
"d''",74,0,19584,19968
"b'",71,0,19968,20160
"a'",69,0,20160,20352
"b'",71,0,20352,20544
"a'",69,0,20544,20928
"a'",69,0,20928,21120
"a'",69,0,21120,21312
"e'",64,0,21312,21504
"fis'",66,0,21504,21696
"g'",67,0,21696,21888
"g'",67,0,21888,22080
"fis'",66,0,22080,22656
"a",57,0,23040,23232
"a",57,0,23232,23424
"d'",62,0,23424,23616
"d'",62,0,23616,23808
"d'",62,0,23808,24000
"e'",64,0,24000,24192
"fis'",66,0,24192,24384
"fis'",66,0,24384,24576
"fis'",66,0,24576,24768
"g'",67,0,24768,24960
"a'",69,0,24960,25344
"b'",71,0,25344,25728
"a'",69,0,25728,25920
"fis'",66,0,25920,26112
"d''",74,0,26496,26880
"b'",71,0,26880,27072
"a'",69,0,27072,27264
"a'",69,0,27264,27456
"b'",71,0,27456,27648
"a'",69,0,28032,28416
"b'",71,0,28416,28608
"a'",69,0,28608,28800
"a'",69,0,28800,28992
"fis'",66,0,28992,29184
"fis'",66,0,29568,29760
"fis'",66,0,29760,29952
"a'",69,0,29952,30144
"fis'",66,0,30144,30336
"e'",64,0,30336,30528
"d'",62,0,30528,30720
"e'",64,0,30720,30912
"d'",62,0,30912,31104
"d'",62,0,31104,31872
"a",57,0,32256,32448
"a",57,0,32448,32640
"d'",62,0,32640,32832
"d'",62,0,32832,33024
"d'",62,0,33024,33216
"e'",64,0,33216,33408
"fis'",66,0,33408,33600
"fis'",66,0,33600,33792
"fis'",66,0,33792,33984
"g'",67,0,33984,34176
"a'",69,0,34176,34560
"b'",71,0,34560,34944
"a'",69,0,34944,35136
"fis'",66,0,35136,35328
"d''",74,0,35712,36096
"b'",71,0,36096,36288
"a'",69,0,36288,36480
"b'",71,0,36480,36672
"a'",69,0,36672,37056
"a'",69,0,37056,37248
"a'",69,0,37248,37440
"e'",64,0,37440,37632
"fis'",66,0,37632,37824
"g'",67,0,37824,38016
"g'",67,0,38016,38208
"fis'",66,0,38208,38784
"a",57,0,39168,39360
"a",57,0,39360,39552
"d'",62,0,39552,39744
"d'",62,0,39744,39936
"d'",62,0,39936,40128
"e'",64,0,40128,40320
"fis'",66,0,40320,40512
"fis'",66,0,40512,40704
"fis'",66,0,40704,40896
"g'",67,0,40896,41088
"a'",69,0,41088,41472
"b'",71,0,41472,41856
"a'",69,0,41856,42048
"fis'",66,0,42048,42240
"d''",74,0,42624,43008
"b'",71,0,43008,43200
"a'",69,0,43200,43392
"a'",69,0,43392,43584
"b'",71,0,43584,43776
"a'",69,0,44160,44544
"b'",71,0,44544,44736
"a'",69,0,44736,44928
"a'",69,0,44928,45120
"fis'",66,0,45120,45312
"fis'",66,0,45696,45888
"fis'",66,0,45888,46080
"a'",69,0,46080,46272
"fis'",66,0,46272,46464
"e'",64,0,46464,46656
"d'",62,0,46656,46848
"e'",64,0,46848,47040
"d'",62,0,47040,47232
"d'",62,0,47232,48000
"a",57,0,48384,48576
"a",57,0,48576,48768
"d'",62,0,48768,48960
"d'",62,0,48960,49152
"d'",62,0,49152,49344
"e'",64,0,49344,49536
"fis'",66,0,49536,49728
"fis'",66,0,49728,49920
"fis'",66,0,49920,50112
"g'",67,0,50112,50304
"a'",69,0,50304,50688
"b'",71,0,50688,51072
"a'",69,0,51072,51264
"fis'",66,0,51264,51456
"d''",74,0,51840,52224
"b'",71,0,52224,52416
"a'",69,0,52416,52608
"b'",71,0,52608,52800
"a'",69,0,52800,53184
"a'",69,0,53184,53376
"a'",69,0,53376,53568
"e'",64,0,53568,53760
"fis'",66,0,53760,53952
"g'",67,0,53952,54144
"g'",67,0,54144,54336
"fis'",66,0,54336,54912
"a",57,0,55296,55488
"a",57,0,55488,55680
"d'",62,0,55680,55872
"d'",62,0,55872,56064
"d'",62,0,56064,56256
"e'",64,0,56256,56448
"fis'",66,0,56448,56640
"fis'",66,0,56640,56832
"fis'",66,0,56832,57024
"g'",67,0,57024,57216
"a'",69,0,57216,57600
"b'",71,0,57600,57984
"a'",69,0,57984,58176
"fis'",66,0,58176,58368
"d''",74,0,58752,59136
"b'",71,0,59136,59328
"a'",69,0,59328,59520
"a'",69,0,59520,59712
"b'",71,0,59712,59904
"a'",69,0,60288,60672
"b'",71,0,60672,60864
"a'",69,0,60864,61056
"a'",69,0,61056,61248
"fis'",66,0,61248,61440
"fis'",66,0,61824,62016
"fis'",66,0,62016,62208
"a'",69,0,62208,62400
"fis'",66,0,62400,62592
"e'",64,0,62592,62784
"d'",62,0,62784,62976
"e'",64,0,62976,63168
"d'",62,0,63168,63360
"d'",62,0,63360,64128
"a",57,0,64512,64704
"a",57,0,64704,64896
"d'",62,0,64896,65088
"d'",62,0,65088,65280
"d'",62,0,65280,65472
"e'",64,0,65472,65664
"fis'",66,0,65664,65856
"fis'",66,0,65856,66048
"fis'",66,0,66048,66240
"g'",67,0,66240,66432
"a'",69,0,66432,66816
"b'",71,0,66816,67200
"a'",69,0,67200,67392
"fis'",66,0,67392,67584
"d''",74,0,67968,68352
"b'",71,0,68352,68544
"a'",69,0,68544,68736
"b'",71,0,68736,68928
"a'",69,0,68928,69312
"a'",69,0,69312,69504
"a'",69,0,69504,69696
"e'",64,0,69696,69888
"fis'",66,0,69888,70080
"g'",67,0,70080,70272
"g'",67,0,70272,70464
"fis'",66,0,70464,71040
"a",57,0,71424,71616
"a",57,0,71616,71808
"d'",62,0,71808,72000
"d'",62,0,72000,72192
"d'",62,0,72192,72384
"e'",64,0,72384,72576
"fis'",66,0,72576,72768
"fis'",66,0,72768,72960
"fis'",66,0,72960,73152
"g'",67,0,73152,73344
"a'",69,0,73344,73728
"b'",71,0,73728,74112
"a'",69,0,74112,74304
"fis'",66,0,74304,74496
"d''",74,0,74880,75264
"b'",71,0,75264,75456
"a'",69,0,75456,75648
"a'",69,0,75648,75840
"b'",71,0,75840,76032
"a'",69,0,76416,76800
"b'",71,0,76800,76992
"a'",69,0,76992,77184
"a'",69,0,77184,77376
"fis'",66,0,77376,77568
"fis'",66,0,77952,78144
"fis'",66,0,78144,78336
"a'",69,0,78336,78528
"fis'",66,0,78528,78720
"e'",64,0,78720,78912
"d'",62,0,78912,79104
"e'",64,0,79104,79296
"d'",62,0,79296,79488
"d'",62,0,79488,80256
