"snippet","data_ref","x","y","bar","bar_moment"
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:13:14",10.536,15.289,0.0,"0"
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:16:17",12.965,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:21:22",17.156,15.289,1.0,"1/4"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:25:26",20.243,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:29:30",24.193,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:33:34",28.441,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:37:38",32.929,15.289,2.0,"3/4"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:43:44",36.58,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:49:50",39.957,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:55:56",43.583,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:61:62",47.773,15.289,3.0,"5/4"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:65:66",51.402,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:71:72",56.793,15.289,4.0,"7/4"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:48:75:76",61.024,15.289,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:49:2:3",68.493,15.289,5.0,"9/4"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:49:7:8",72.123,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:49:13:14",74.552,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:49:20:21",78.742,15.289,6.0,"11/4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:49:26:27",81.172,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:49:31:32",85.521,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:49:37:38",89.787,15.289,7.0,"13/4"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:49:41:42",94.3,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:49:45:46",96.875,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:49:51:52",99.749,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:49:57:58",103.94,15.289,8.0,"15/4"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:49:63:64",106.369,15.289,"",""
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:5:6",117.03,15.289,"",""
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:8:9",119.459,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:13:14",123.65,15.289,10.0,"19/4"
