"pitch","midi","channel","on_tick","off_tick"
"gis'",68,0,0,384
"fis'",66,0,384,576
"gis'",68,0,576,768
"a'",69,0,768,960
"gis'",68,0,960,1152
"fis'",66,0,1152,1344
"gis'",68,0,1344,1536
"fis'",66,0,1536,1920
"f'",65,0,1920,2112
"fis'",66,0,2112,2304
"a'",69,0,2304,2688
"fis'",66,0,2688,3072
"fis'",66,0,3072,3456
"f'",65,0,3456,3648
"fis'",66,0,3648,3840
"a'",69,0,3840,4032
"fis'",66,0,4032,4224
"f'",65,0,4224,4416
"fis'",66,0,4416,4608
"a'",69,0,4608,4800
"fis'",66,0,4800,4992
"f'",65,0,4992,5184
"fis'",66,0,5184,5376
"a'",69,0,5376,5760
"gis'",68,0,5760,6144
"e'",64,0,6144,6528
"e'",64,0,6528,6720
"gis'",68,0,6720,6912
"b'",71,0,6912,7104
"gis'",68,0,7104,7296
"fis'",66,0,7296,7488
"gis'",68,0,7488,7680
"a'",69,0,7680,8064
"b'",71,0,8064,8256
"cis''",73,0,8256,8448
"d''",74,0,8448,8832
"cis''",73,0,8832,9216
"cis''",73,0,9216,9600
"fis'",66,0,9600,9792
"gis'",68,0,9792,9984
"a'",69,0,9984,10176
"gis'",68,0,10176,10368
"fis'",66,0,10368,10560
"gis'",68,0,10560,10752
"e'",64,0,10752,11136
"dis'",63,0,11136,11328
"fis'",66,0,11328,11520
"e'",64,0,11520,12288
"b'",71,0,12288,12672
"fis'",66,0,12672,13056
"b'",71,0,13056,13440
"fis'",66,0,13440,13824
"e'",64,0,13824,14016
"fis'",66,0,14016,14208
"gis'",68,0,14208,14400
"a'",69,0,14400,14592
"gis'",68,0,14592,15360
"cis''",73,0,15360,15552
"cis''",73,0,15552,15744
"cis''",73,0,15744,15936
"cis''",73,0,15936,16128
"b'",71,0,16128,16320
"b'",71,0,16320,16512
"e'",64,0,16512,16704
"gis'",68,0,16704,16896
"fis'",66,0,16896,17280
"e'",64,0,17280,17664
"fis'",66,0,17664,17856
"fis'",66,0,17856,18048
"gis'",68,0,18432,18624
"a'",69,0,18624,18816
"gis'",68,0,18816,19008
"fis'",66,0,19008,19200
"gis'",68,0,19200,19392
"a'",69,0,19392,19584
"gis'",68,0,19584,19776
"fis'",66,0,19776,19968
"e'",64,0,19968,20160
"fis'",66,0,20160,20352
"gis'",68,0,20352,20544
"a'",69,0,20544,20736
"dis'",63,0,20736,21120
"fis'",66,0,21120,21504
"e'",64,0,21504,22656
"gis'",68,0,23040,23424
"fis'",66,0,23424,23616
"gis'",68,0,23616,23808
"a'",69,0,23808,24000
"gis'",68,0,24000,24192
"fis'",66,0,24192,24384
"gis'",68,0,24384,24576
"fis'",66,0,24576,24960
"f'",65,0,24960,25152
"fis'",66,0,25152,25344
"a'",69,0,25344,25728
"fis'",66,0,25728,26112
"fis'",66,0,26112,26496
"f'",65,0,26496,26688
"fis'",66,0,26688,26880
"a'",69,0,26880,27072
"fis'",66,0,27072,27264
"f'",65,0,27264,27456
"fis'",66,0,27456,27648
"a'",69,0,27648,27840
"fis'",66,0,27840,28032
"f'",65,0,28032,28224
"fis'",66,0,28224,28416
"a'",69,0,28416,28800
"gis'",68,0,28800,29184
"e'",64,0,29184,29568
"e'",64,0,29568,29760
"gis'",68,0,29760,29952
"b'",71,0,29952,30144
"gis'",68,0,30144,30336
"fis'",66,0,30336,30528
"gis'",68,0,30528,30720
"a'",69,0,30720,31104
"b'",71,0,31104,31296
"cis''",73,0,31296,31488
"d''",74,0,31488,31872
"cis''",73,0,31872,32256
"cis''",73,0,32256,32640
"fis'",66,0,32640,32832
"gis'",68,0,32832,33024
"a'",69,0,33024,33216
"gis'",68,0,33216,33408
"fis'",66,0,33408,33600
"gis'",68,0,33600,33792
"e'",64,0,33792,34176
"dis'",63,0,34176,34368
"fis'",66,0,34368,34560
"e'",64,0,34560,35328
"b'",71,0,35328,35712
"fis'",66,0,35712,36096
"b'",71,0,36096,36480
"fis'",66,0,36480,36864
"e'",64,0,36864,37056
"fis'",66,0,37056,37248
"gis'",68,0,37248,37440
"a'",69,0,37440,37632
"gis'",68,0,37632,38400
"cis''",73,0,38400,38592
"cis''",73,0,38592,38784
"cis''",73,0,38784,38976
"cis''",73,0,38976,39168
"b'",71,0,39168,39360
"b'",71,0,39360,39552
"e'",64,0,39552,39744
"gis'",68,0,39744,39936
"fis'",66,0,39936,40320
"e'",64,0,40320,40704
"fis'",66,0,40704,40896
"fis'",66,0,40896,41088
"gis'",68,0,41472,41664
"a'",69,0,41664,41856
"gis'",68,0,41856,42048
"fis'",66,0,42048,42240
"gis'",68,0,42240,42432
"a'",69,0,42432,42624
"gis'",68,0,42624,42816
"fis'",66,0,42816,43008
"e'",64,0,43008,43200
"fis'",66,0,43200,43392
"gis'",68,0,43392,43584
"a'",69,0,43584,43776
"dis'",63,0,43776,44160
"fis'",66,0,44160,44544
"e'",64,0,44544,45696
