"snippet","data_ref","x","y","bar","bar_moment"
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:71:4:5",10.536,15.732,1.0,"0"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:71:10:11",14.921,15.732,"",""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:71:16:17",18.87,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:71:22:23",23.597,15.732,"",""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:71:26:27",29.416,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:71:32:33",33.81,15.732,"",""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:71:38:39",36.239,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:72:4:5",40.43,15.732,2.0,"1"
"eis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:72:10:11",44.059,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:72:16:17",47.044,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:72:22:23",50.422,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:72:26:27",54.568,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:73:4:5",59.959,15.732,3.0,"2"
"eis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:73:10:11",63.729,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:73:16:17",67.559,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:73:22:23",70.544,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:73:26:27",73.734,15.732,"",""
"eis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM188_KristusMengundang/GPM188_KristusMengundang_ly_data.ily:73:32:33",77.735,15.732,"",""
