"pitch","midi","channel","on_tick","off_tick"
"a",57,0,192,384
"d'",62,0,384,576
"e'",64,0,576,768
"fis'",66,0,768,1152
"fis'",66,0,1152,1728
"fis'",66,0,1728,1920
"g'",67,0,1920,2112
"b'",71,0,2112,2304
"a'",69,0,2304,2688
"a'",69,0,2688,3456
"a'",69,0,3456,3648
"a'",69,0,3648,3840
"g'",67,0,3840,4224
"b'",71,0,4224,4608
"a'",69,0,4608,4992
"g'",67,0,4992,5376
"fis'",66,0,5376,6144
"a",57,0,6336,6528
"d'",62,0,6528,6720
"e'",64,0,6720,6912
"fis'",66,0,6912,7296
"fis'",66,0,7296,7872
"fis'",66,0,7872,8064
"g'",67,0,8064,8256
"b'",71,0,8256,8448
"a'",69,0,8448,8832
"a'",69,0,8832,9600
"a'",69,0,9600,9792
"a'",69,0,9792,9984
"g'",67,0,9984,10368
"b'",71,0,10368,10752
"a'",69,0,10752,11136
"g'",67,0,11136,11520
"fis'",66,0,11520,12672
"g'",67,0,13056,13440
"g'",67,0,13440,13824
"b'",71,0,13824,14208
"cis''",73,0,14208,14592
"d''",74,0,14592,14976
"a'",69,0,14976,15360
"a'",69,0,15360,16128
"a'",69,0,16128,16512
"a'",69,0,16512,16704
"a'",69,0,16704,16896
"g'",67,0,16896,17472
"g'",67,0,17472,17664
"fis'",66,0,17664,18816
"g'",67,0,19200,19584
"g'",67,0,19584,19968
"b'",71,0,19968,20352
"cis''",73,0,20352,20736
"d''",74,0,20736,21120
"a'",69,0,21120,21504
"a'",69,0,21504,22272
"a'",69,0,22272,22656
"a'",69,0,22656,22848
"a'",69,0,22848,23040
"g'",67,0,23040,23424
"e'",64,0,23424,23808
"d'",62,0,23808,24576
"a",57,0,24768,24960
"d'",62,0,24960,25152
"e'",64,0,25152,25344
"fis'",66,0,25344,25728
"fis'",66,0,25728,26304
"fis'",66,0,26304,26496
"g'",67,0,26496,26688
"b'",71,0,26688,26880
"a'",69,0,26880,27264
"a'",69,0,27264,28032
"a'",69,0,28032,28224
"a'",69,0,28224,28416
"g'",67,0,28416,28800
"b'",71,0,28800,29184
"a'",69,0,29184,29568
"g'",67,0,29568,29952
"fis'",66,0,29952,30720
"a",57,0,30912,31104
"d'",62,0,31104,31296
"e'",64,0,31296,31488
"fis'",66,0,31488,31872
"fis'",66,0,31872,32448
"fis'",66,0,32448,32640
"g'",67,0,32640,32832
"b'",71,0,32832,33024
"a'",69,0,33024,33408
"a'",69,0,33408,34176
"a'",69,0,34176,34368
"a'",69,0,34368,34560
"g'",67,0,34560,34944
"b'",71,0,34944,35328
"a'",69,0,35328,35712
"g'",67,0,35712,36096
"fis'",66,0,36096,37248
"g'",67,0,37632,38016
"g'",67,0,38016,38400
"b'",71,0,38400,38784
"cis''",73,0,38784,39168
"d''",74,0,39168,39552
"a'",69,0,39552,39936
"a'",69,0,39936,40704
"a'",69,0,40704,41088
"a'",69,0,41088,41280
"a'",69,0,41280,41472
"g'",67,0,41472,42048
"g'",67,0,42048,42240
"fis'",66,0,42240,43392
"g'",67,0,43776,44160
"g'",67,0,44160,44544
"b'",71,0,44544,44928
"cis''",73,0,44928,45312
"d''",74,0,45312,45696
"a'",69,0,45696,46080
"a'",69,0,46080,46848
"a'",69,0,46848,47232
"a'",69,0,47232,47424
"a'",69,0,47424,47616
"g'",67,0,47616,48000
"e'",64,0,48000,48384
"d'",62,0,48384,49152
