"snippet","data_ref","x","y","bar","bar_moment"
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:48:18:19",12.336,15.289,0.0,"0"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:48:21:22",15.85,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:48:25:26",18.75,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:48:31:32",22.54,15.289,1.0,"1/2"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:48:37:38",25.468,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:48:44:45",30.295,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:48:50:51",33.041,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:48:54:55",37.221,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:48:60:61",41.012,15.289,2.0,"3/2"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:48:64:65",43.94,15.289,"",""
