"pitch","midi","channel","on_tick","off_tick"
"gis'",68,0,0,384
"gis'",68,0,384,576
"gis'",68,0,576,768
"fis'",66,0,768,960
"e'",64,0,960,1152
"gis'",68,0,1152,1344
"a'",69,0,1344,1536
"b'",71,0,1536,1920
"b'",71,0,1920,2304
"a'",69,0,2304,2496
"gis'",68,0,2496,3072
"a'",69,0,3072,3264
"a'",69,0,3264,3456
"a'",69,0,3456,3648
"gis'",68,0,3648,3840
"fis'",66,0,3840,4032
"fis'",66,0,4032,4224
"gis'",68,0,4224,4416
"a'",69,0,4416,4608
"gis'",68,0,4608,5760
"gis'",68,0,6144,6528
"gis'",68,0,6528,6720
"gis'",68,0,6720,6912
"gis'",68,0,6912,7104
"gis'",68,0,7104,7296
"a'",69,0,7296,7488
"b'",71,0,7488,7680
"cis''",73,0,7680,8064
"cis''",73,0,8064,8256
"b'",71,0,8256,8448
"a'",69,0,8448,8832
"a'",69,0,9024,9216
"gis'",68,0,9216,9408
"gis'",68,0,9408,9984
"fis'",66,0,9984,10176
"e'",64,0,10176,10368
"fis'",66,0,10368,10560
"gis'",68,0,10560,10752
"e'",64,0,10752,11136
"e'",64,0,11136,11904
"gis'",68,0,12288,12672
"gis'",68,0,12672,12864
"gis'",68,0,12864,13056
"fis'",66,0,13056,13248
"e'",64,0,13248,13440
"gis'",68,0,13440,13632
"a'",69,0,13632,13824
"b'",71,0,13824,14208
"b'",71,0,14208,14592
"a'",69,0,14592,14784
"gis'",68,0,14784,15360
"a'",69,0,15360,15552
"a'",69,0,15552,15744
"a'",69,0,15744,15936
"gis'",68,0,15936,16128
"fis'",66,0,16128,16320
"fis'",66,0,16320,16512
"gis'",68,0,16512,16704
"a'",69,0,16704,16896
"gis'",68,0,16896,18048
"gis'",68,0,18432,18816
"gis'",68,0,18816,19008
"gis'",68,0,19008,19200
"gis'",68,0,19200,19392
"gis'",68,0,19392,19584
"a'",69,0,19584,19776
"b'",71,0,19776,19968
"cis''",73,0,19968,20352
"cis''",73,0,20352,20544
"b'",71,0,20544,20736
"a'",69,0,20736,21120
"a'",69,0,21312,21504
"gis'",68,0,21504,21696
"gis'",68,0,21696,22272
"fis'",66,0,22272,22464
"e'",64,0,22464,22656
"fis'",66,0,22656,22848
"gis'",68,0,22848,23040
"e'",64,0,23040,23424
"e'",64,0,23424,24192
