"snippet","data_ref","x","y","bar","bar_moment"
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:49:4:5",10.536,15.289,1.0,"0"
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:49:10:11",14.426,15.289,"",""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:49:16:17",18.905,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:49:22:23",22.265,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:49:28:29",24.694,15.289,"",""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:49:32:33",27.159,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:49:38:39",30.571,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:49:44:45",34.761,15.289,2.0,"1"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:49:48:49",38.391,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:49:52:53",42.02,15.289,"",""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:49:56:57",44.449,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:50:4:5",51.76,15.289,3.0,"2"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:50:8:9",54.421,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:50:12:13",57.79,15.289,"",""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:50:16:17",61.765,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:50:22:23",66.466,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:50:28:29",69.468,15.289,"",""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:50:34:35",73.06,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:50:40:41",75.993,15.289,"",""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:50:46:47",80.184,15.289,4.0,"3"
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:51:4:5",95.094,15.289,5.0,"4"
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM192_TuhanBerkatiNikahKami/GPM192_TuhanBerkatiNikahKami_ly_data.ily:51:10:11",98.723,15.289,"",""
