"pitch","midi","channel","on_tick","off_tick"
"g'",67,0,384,768
"g'",67,0,768,1344
"f'",65,0,1344,1536
"f'",65,0,1536,1728
"e'",64,0,1728,2496
"e'",64,0,2496,2688
"e'",64,0,2688,2880
"d'",62,0,2880,3072
"c'",60,0,3072,3264
"c'",60,0,3264,3456
"c'",60,0,3456,3648
"c'",60,0,3648,3840
"b",59,0,3840,4224
"c'",60,0,4224,4608
"d'",62,0,4608,6144
"f'",65,0,6528,6912
"f'",65,0,6912,7488
"e'",64,0,7488,7680
"e'",64,0,7680,7872
"d'",62,0,7872,8640
"e'",64,0,8640,8832
"d'",62,0,8832,9024
"c'",60,0,9024,9216
"b",59,0,9216,9408
"b",59,0,9408,9600
"a'",69,0,9600,9792
"a'",69,0,9792,9984
"g'",67,0,9984,10176
"g'",67,0,10176,10560
"f'",65,0,10560,10752
"e'",64,0,10752,12288
"g'",67,0,12672,13056
"g'",67,0,13056,13632
"f'",65,0,13632,13824
"f'",65,0,13824,14016
"e'",64,0,14016,14784
"e'",64,0,14784,14976
"e'",64,0,14976,15168
"d'",62,0,15168,15360
"c'",60,0,15360,15552
"c'",60,0,15552,15744
"c'",60,0,15744,15936
"c'",60,0,15936,16128
"c''",72,0,16128,16704
"b'",71,0,16704,16896
"a'",69,0,16896,18432
"f'",65,0,18816,19200
"g'",67,0,19200,19776
"a'",69,0,19776,19968
"g'",67,0,19968,20160
"e'",64,0,20160,20928
"g'",67,0,20928,21120
"f'",65,0,21120,21312
"e'",64,0,21312,21504
"e'",64,0,21504,21696
"d'",62,0,21696,22272
"f'",65,0,22272,22848
"g'",67,0,22848,23040
"g'",67,0,23040,23232
"e'",64,0,23232,24576
"f'",65,0,24960,25344
"g'",67,0,25344,25920
"a'",69,0,25920,26112
"g'",67,0,26112,26304
"e'",64,0,26304,27072
"g'",67,0,27072,27264
"f'",65,0,27264,27456
"e'",64,0,27456,27648
"e'",64,0,27648,27840
"d'",62,0,27840,28416
"a'",69,0,28416,28992
"b'",71,0,28992,29184
"c''",72,0,29184,30720
"g'",67,0,31104,31488
"g'",67,0,31488,32064
"f'",65,0,32064,32256
"f'",65,0,32256,32448
"e'",64,0,32448,33216
"e'",64,0,33216,33408
"e'",64,0,33408,33600
"d'",62,0,33600,33792
"c'",60,0,33792,33984
"c'",60,0,33984,34176
"c'",60,0,34176,34368
"c'",60,0,34368,34560
"b",59,0,34560,34944
"c'",60,0,34944,35328
"d'",62,0,35328,36864
"f'",65,0,37248,37632
"f'",65,0,37632,38208
"e'",64,0,38208,38400
"e'",64,0,38400,38592
"d'",62,0,38592,39360
"e'",64,0,39360,39552
"d'",62,0,39552,39744
"c'",60,0,39744,39936
"b",59,0,39936,40128
"b",59,0,40128,40320
"a'",69,0,40320,40512
"a'",69,0,40512,40704
"g'",67,0,40704,40896
"g'",67,0,40896,41280
"f'",65,0,41280,41472
"e'",64,0,41472,43008
"g'",67,0,43392,43776
"g'",67,0,43776,44352
"f'",65,0,44352,44544
"f'",65,0,44544,44736
"e'",64,0,44736,45504
"e'",64,0,45504,45696
"e'",64,0,45696,45888
"d'",62,0,45888,46080
"c'",60,0,46080,46272
"c'",60,0,46272,46464
"c'",60,0,46464,46656
"c'",60,0,46656,46848
"c''",72,0,46848,47424
"b'",71,0,47424,47616
"a'",69,0,47616,49152
"f'",65,0,49536,49920
"g'",67,0,49920,50496
"a'",69,0,50496,50688
"g'",67,0,50688,50880
"e'",64,0,50880,51648
"g'",67,0,51648,51840
"f'",65,0,51840,52032
"e'",64,0,52032,52224
"e'",64,0,52224,52416
"d'",62,0,52416,52992
"f'",65,0,52992,53568
"g'",67,0,53568,53760
"g'",67,0,53760,53952
"e'",64,0,53952,55296
"f'",65,0,55680,56064
"g'",67,0,56064,56640
"a'",69,0,56640,56832
"g'",67,0,56832,57024
"e'",64,0,57024,57792
"g'",67,0,57792,57984
"f'",65,0,57984,58176
"e'",64,0,58176,58368
"e'",64,0,58368,58560
"d'",62,0,58560,59136
"a'",69,0,59136,59712
"b'",71,0,59712,59904
"c''",72,0,59904,61440
