"snippet","data_ref","x","y","tied_data_refs"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:53:5:6",13.886,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:53:9:10",17.515,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:53:14:15",23.065,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:53:20:21",27.255,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:53:24:25",29.684,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:53:28:29",37.154,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:53:32:33",41.3,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:53:36:37",45.003,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:54:2:3",49.193,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:54:6:7",51.622,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:54:10:11",54.24,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:54:14:15",58.002,15.289,""
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:54:18:19",62.148,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:54:21:22",65.778,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:54:27:28",71.168,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:55:5:6",89.27,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:55:9:10",92.899,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:55:14:15",100.178,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:55:20:21",104.369,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:55:24:25",106.798,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:55:28:29",114.268,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:55:32:33",119.25,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:55:36:37",124.344,15.289,""
