"pitch","midi","channel","on_tick","off_tick"
"d'",62,0,0,192
"e'",64,0,192,384
"fis'",66,0,384,576
"a'",69,0,576,768
"fis'",66,0,768,960
"e'",64,0,960,1152
"fis'",66,0,1152,1344
"e'",64,0,1344,1536
"fis'",66,0,1536,1728
"a'",69,0,1728,1920
"b'",71,0,1920,2208
"a'",69,0,2208,2304
"a'",69,0,2304,3072
"e'",64,0,3072,3264
"fis'",66,0,3264,3456
"a'",69,0,3456,3648
"g'",67,0,3648,3840
"g'",67,0,3840,4032
"fis'",66,0,4032,4224
"g'",67,0,4224,4416
"fis'",66,0,4416,4608
"g'",67,0,4608,4896
"a'",69,0,4896,4992
"e'",64,0,4992,5760
"d'",62,0,6144,6336
"e'",64,0,6336,6528
"fis'",66,0,6528,6720
"a'",69,0,6720,6912
"fis'",66,0,6912,7104
"e'",64,0,7104,7296
"fis'",66,0,7296,7488
"e'",64,0,7488,7680
"fis'",66,0,7680,7872
"a'",69,0,7872,8064
"b'",71,0,8064,8352
"a'",69,0,8352,8448
"a'",69,0,8448,9216
"e'",64,0,9216,9408
"fis'",66,0,9408,9600
"a'",69,0,9600,9792
"g'",67,0,9792,9984
"g'",67,0,9984,10176
"fis'",66,0,10176,10368
"e'",64,0,10368,10560
"d'",62,0,10560,10752
"cis'",61,0,10752,10944
"e'",64,0,10944,11136
"d'",62,0,11136,11904
"d'",62,0,12096,12288
"fis'",66,0,12288,12480
"a'",69,0,12480,12672
"d''",74,0,12672,13440
"cis''",73,0,13440,13824
"fis'",66,0,13824,14016
"a'",69,0,14016,14208
"b'",71,0,14208,14976
"a'",69,0,14976,15360
"e'",64,0,15360,15552
"fis'",66,0,15552,15744
"a'",69,0,15744,15936
"g'",67,0,15936,16128
"g'",67,0,16128,16320
"fis'",66,0,16320,16512
"e'",64,0,16512,16704
"d'",62,0,16704,16896
"cis'",61,0,16896,17088
"d'",62,0,17088,17280
"e'",64,0,17280,18048
"d'",62,0,18240,18432
"fis'",66,0,18432,18624
"a'",69,0,18624,18816
"d''",74,0,18816,19584
"cis''",73,0,19584,19968
"fis'",66,0,19968,20160
"a'",69,0,20160,20352
"b'",71,0,20352,21120
"a'",69,0,21120,21504
"e'",64,0,21504,21696
"fis'",66,0,21696,21888
"a'",69,0,21888,22080
"g'",67,0,22080,22272
"g'",67,0,22272,22464
"fis'",66,0,22464,22656
"e'",64,0,22656,22848
"d'",62,0,22848,23040
"cis'",61,0,23040,23328
"e'",64,0,23328,23424
"d'",62,0,23424,24192
"d'",62,0,24576,24768
"e'",64,0,24768,24960
"fis'",66,0,24960,25152
"a'",69,0,25152,25344
"fis'",66,0,25344,25536
"e'",64,0,25536,25728
"fis'",66,0,25728,25920
"e'",64,0,25920,26112
"fis'",66,0,26112,26304
"a'",69,0,26304,26496
"b'",71,0,26496,26784
"a'",69,0,26784,26880
"a'",69,0,26880,27648
"e'",64,0,27648,27840
"fis'",66,0,27840,28032
"a'",69,0,28032,28224
"g'",67,0,28224,28416
"g'",67,0,28416,28608
"fis'",66,0,28608,28800
"g'",67,0,28800,28992
"fis'",66,0,28992,29184
"g'",67,0,29184,29472
"a'",69,0,29472,29568
"e'",64,0,29568,30336
"d'",62,0,30720,30912
"e'",64,0,30912,31104
"fis'",66,0,31104,31296
"a'",69,0,31296,31488
"fis'",66,0,31488,31680
"e'",64,0,31680,31872
"fis'",66,0,31872,32064
"e'",64,0,32064,32256
"fis'",66,0,32256,32448
"a'",69,0,32448,32640
"b'",71,0,32640,32928
"a'",69,0,32928,33024
"a'",69,0,33024,33792
"e'",64,0,33792,33984
"fis'",66,0,33984,34176
"a'",69,0,34176,34368
"g'",67,0,34368,34560
"g'",67,0,34560,34752
"fis'",66,0,34752,34944
"e'",64,0,34944,35136
"d'",62,0,35136,35328
"cis'",61,0,35328,35520
"e'",64,0,35520,35712
"d'",62,0,35712,36480
"d'",62,0,36672,36864
"fis'",66,0,36864,37056
"a'",69,0,37056,37248
"d''",74,0,37248,38016
"cis''",73,0,38016,38400
"fis'",66,0,38400,38592
"a'",69,0,38592,38784
"b'",71,0,38784,39552
"a'",69,0,39552,39936
"e'",64,0,39936,40128
"fis'",66,0,40128,40320
"a'",69,0,40320,40512
"g'",67,0,40512,40704
"g'",67,0,40704,40896
"fis'",66,0,40896,41088
"e'",64,0,41088,41280
"d'",62,0,41280,41472
"cis'",61,0,41472,41664
"d'",62,0,41664,41856
"e'",64,0,41856,42624
"d'",62,0,42816,43008
"fis'",66,0,43008,43200
"a'",69,0,43200,43392
"d''",74,0,43392,44160
"cis''",73,0,44160,44544
"fis'",66,0,44544,44736
"a'",69,0,44736,44928
"b'",71,0,44928,45696
"a'",69,0,45696,46080
"e'",64,0,46080,46272
"fis'",66,0,46272,46464
"a'",69,0,46464,46656
"g'",67,0,46656,46848
"g'",67,0,46848,47040
"fis'",66,0,47040,47232
"e'",64,0,47232,47424
"d'",62,0,47424,47616
"cis'",61,0,47616,47904
"e'",64,0,47904,48000
"d'",62,0,48000,48768
